date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-05-20,214688264707.8,2.8068,,,,,22.3033,,,,,1.4388,,,,,0.0234,37.4626,,,,,2.8402,,,,
2026-05-19,218301531435.0,2.8541,,,,,22.6787,,,,,1.4631,,,,,0.0230,38.0931,,,,,2.8880,,,,
2026-05-18,221212218520.8,2.8921,,,,,22.9811,,,,,1.4826,,,,,0.0227,38.6010,,,,,2.9265,,,,
2026-05-15,212279420223.0,2.7753,,,,,22.0531,,,,,1.4227,,,,,0.0236,37.0423,,,,,2.8083,,,,
2026-05-14,203948833046.4,2.6664,,,,,21.1876,,,,,1.3669,,,,,0.0246,35.5886,,,,,2.6981,,,,
2026-05-13,208478470898.88,2.7257,,,,,21.6582,,,,,1.3972,,,,,0.0241,36.3790,,,,,2.7580,,,,
2026-05-12,211188590645.76,2.7611,,,,,21.9398,,,,,1.4154,,,,,0.0238,36.8519,,,,,2.7939,,,,
2026-05-11,214902458447.04,2.8096,,,,,22.3256,,,,,1.4403,,,,,0.0234,37.5000,,,,,2.8430,,,,
2026-05-08,215203582863.36,2.8136,,,,,22.3569,,,,,1.4423,,,,,0.0233,37.5525,,,,,2.8470,,,,
2026-05-07,215203582863.36,2.8136,,,,,22.3569,,,,,1.4423,,,,,0.0233,37.5525,,,,,2.8470,,,,
2026-05-06,229757929652.16,3.0039,,,,,23.8689,,,,,1.5398,,,,,0.0218,40.0922,,,,,3.0395,,,,
2026-04-30,229356430430.4,2.9986,,,,,23.8272,,,,,1.5371,,,,,0.0219,40.0222,,,,,3.0342,,,,
2026-04-29,232568424204.48,3.0406,,,,,24.1608,,,,,1.5587,,,,,0.0216,40.5826,,,,,3.0767,,,,
2026-04-28,215404332474.24,3.0037,,,,,25.7017,,,,,1.4862,,,,,0.0233,29.1127,,,,,3.0416,,,,
2026-04-27,208779595315.2,2.9113,,,,,24.9112,,,,,1.4405,,,,,0.0240,28.2173,,,,,2.9481,,,,
2026-04-24,207575097649.92,2.8945,,,,,24.7675,,,,,1.4322,,,,,0.0242,28.0545,,,,,2.9311,,,,
2026-04-23,207073223622.72,2.8875,,,,,24.7076,,,,,1.4288,,,,,0.0242,27.9867,,,,,2.9240,,,,
2026-04-22,199545113214.72,2.7825,,,,,23.8094,,,,,1.3768,,,,,0.0252,26.9692,,,,,2.8177,,,,
2026-04-21,195931620218.88,2.7321,,,,,23.3782,,,,,1.3519,,,,,0.0256,26.4809,,,,,2.7667,,,,
2026-04-20,188303135005.44,2.6258,,,,,22.4680,,,,,1.2992,,,,,0.0267,25.4498,,,,,2.6589,,,,
2026-04-17,190712130336.0,2.6594,,,,,22.7554,,,,,1.3159,,,,,0.0263,25.7754,,,,,2.6930,,,,
2026-04-16,194425998137.28,2.7111,,,,,23.1986,,,,,1.3415,,,,,0.0258,26.2774,,,,,2.7454,,,,
2026-04-15,192619251639.36,2.6859,,,,,22.9830,,,,,1.3290,,,,,0.0261,26.0332,,,,,2.7199,,,,
2026-04-14,195630495802.56,2.7279,,,,,23.3423,,,,,1.3498,,,,,0.0257,26.4402,,,,,2.7624,,,,
2026-04-13,199545113214.72,2.7825,,,,,23.8094,,,,,1.3768,,,,,0.0252,26.9692,,,,,2.8177,,,,
2026-04-10,193823749304.64,2.7027,,,,,23.1267,,,,,1.3373,,,,,0.0259,26.1960,,,,,2.7369,,,,
2026-04-09,190210256308.8,2.6524,,,,,22.6956,,,,,1.3124,,,,,0.0264,25.7076,,,,,2.6859,,,,
2026-04-08,191113629557.76,2.6650,,,,,22.8033,,,,,1.3186,,,,,0.0263,25.8297,,,,,2.6986,,,,
2026-04-07,199444738409.28,2.7811,,,,,23.7974,,,,,1.3761,,,,,0.0252,26.9557,,,,,2.8163,,,,
2026-04-03,192719626444.8,2.6873,,,,,22.9950,,,,,1.3297,,,,,0.0260,26.0468,,,,,2.7213,,,,
2026-04-02,194325623331.84,2.7097,,,,,23.1866,,,,,1.3408,,,,,0.0258,26.2638,,,,,2.7440,,,,
2026-04-01,190812505141.44,2.6608,,,,,22.7674,,,,,1.3166,,,,,0.0263,25.7890,,,,,2.6944,,,,
2026-03-31,194225248526.4,2.7083,,,,,23.1746,,,,,1.3401,,,,,0.0258,26.2502,,,,,2.7426,,,,
2026-03-30,202255232961.6,2.8203,,,,,24.1327,,,,,1.3955,,,,,0.0248,27.3355,,,,,2.8559,,,,
2026-03-27,204664228292.16,3.9223,,,,,20.1841,,,,,1.4890,,,,,0.0353,21.8682,,,,,3.9907,,,,
2026-03-26,205969100762.88,3.9473,,,,,20.3128,,,,,1.4985,,,,,0.0351,22.0076,,,,,4.0161,,,,
2026-03-25,197637991911.36,3.7877,,,,,19.4912,,,,,1.4379,,,,,0.0366,21.1174,,,,,3.8537,,,,
2026-03-24,206069475568.32,3.9493,,,,,20.3227,,,,,1.4992,,,,,0.0351,22.0183,,,,,4.0181,,,,
2026-03-23,208378096093.44,3.9935,,,,,20.5504,,,,,1.5160,,,,,0.0347,22.2650,,,,,4.0631,,,,
2026-03-20,211389340256.64,4.0512,,,,,20.8473,,,,,1.5379,,,,,0.0342,22.5868,,,,,4.1218,,,,
2026-03-19,207374348039.04,3.9743,,,,,20.4514,,,,,1.5087,,,,,0.0348,22.1578,,,,,4.0435,,,,
2026-03-18,200046987241.92,3.8338,,,,,19.7287,,,,,1.4554,,,,,0.0361,21.3748,,,,,3.9007,,,,
2026-03-17,200749610880.0,3.8473,,,,,19.7980,,,,,1.4605,,,,,0.0360,21.4499,,,,,3.9144,,,,
2026-03-16,209783343369.6,4.0204,,,,,20.6889,,,,,1.5263,,,,,0.0344,22.4152,,,,,4.0905,,,,
2026-03-13,218515951442.88,4.1878,,,,,21.5502,,,,,1.5898,,,,,0.0331,23.3482,,,,,4.2608,,,,
2026-03-12,222530943660.48,4.2647,,,,,21.9461,,,,,1.6190,,,,,0.0325,23.7772,,,,,4.3391,,,,
2026-03-11,202255232961.6,3.8762,,,,,19.9465,,,,,1.4715,,,,,0.0357,21.6108,,,,,3.9437,,,,
2026-03-10,195530120997.12,3.7473,,,,,19.2833,,,,,1.4226,,,,,0.0370,20.8922,,,,,3.8126,,,,
2026-03-09,203560105432.32,3.9012,,,,,20.0752,,,,,1.4810,,,,,0.0355,21.7502,,,,,3.9692,,,,
2026-03-06,193522624888.32,3.7088,,,,,19.0853,,,,,1.4080,,,,,0.0373,20.6777,,,,,3.7734,,,,
2026-03-05,202054483350.72,3.8723,,,,,19.9267,,,,,1.4700,,,,,0.0358,21.5893,,,,,3.9398,,,,
2026-03-04,195730870608.0,3.7511,,,,,19.3031,,,,,1.4240,,,,,0.0369,20.9137,,,,,3.8165,,,,
2026-03-03,205768351152.0,3.9435,,,,,20.2930,,,,,1.4971,,,,,0.0351,21.9862,,,,,4.0122,,,,
2026-03-02,189206508254.4,3.6261,,,,,18.6597,,,,,1.3766,,,,,0.0382,20.2165,,,,,3.6893,,,,
2026-02-27,177864155239.68,3.4087,,,,,17.5411,,,,,1.2940,,,,,0.0406,19.0046,,,,,3.4681,,,,
2026-02-26,170536794442.56,3.2683,,,,,16.8184,,,,,1.2407,,,,,0.0424,18.2217,,,,,3.3252,,,,
2026-02-25,172644665356.8,3.3087,,,,,16.2740,,,,,1.2561,,,,,0.0419,18.4469,,,,,3.3663,,,,
2026-02-24,177563030823.36,3.4029,,,,,16.7376,,,,,1.2918,,,,,0.0407,18.9724,,,,,3.4623,,,,
2026-02-13,174150287438.4,3.3375,,,,,16.4159,,,,,1.2670,,,,,0.0415,18.6078,,,,,3.3957,,,,
2026-02-12,175756284325.44,3.3683,,,,,16.5673,,,,,1.2787,,,,,0.0411,18.7794,,,,,3.4270,,,,
2026-02-11,167124051057.6,3.2029,,,,,15.7536,,,,,1.2159,,,,,0.0432,17.8570,,,,,3.2587,,,,
2026-02-10,159495565844.16,3.0567,,,,,15.0345,,,,,1.1604,,,,,0.0453,17.0420,,,,,3.1100,,,,
2026-02-09,159495565844.16,3.0567,,,,,15.0345,,,,,1.1604,,,,,0.0453,17.0420,,,,,3.1100,,,,
2026-02-06,156283572070.08,2.9951,,,,,14.7318,,,,,1.1370,,,,,0.0462,16.6988,,,,,3.0473,,,,
2026-02-05,154978699599.36,2.9701,,,,,14.6088,,,,,1.1275,,,,,0.0466,16.5593,,,,,3.0219,,,,
2026-02-04,153272327906.88,2.9374,,,,,14.4479,,,,,1.1151,,,,,0.0472,16.3770,,,,,2.9886,,,,
2026-02-03,139320229950.72,2.6700,,,,,13.1328,,,,,1.0136,,,,,0.0519,14.8862,,,,,2.7166,,,,
2026-02-02,138818355923.52,2.6604,,,,,13.0855,,,,,1.0100,,,,,0.0521,14.8326,,,,,2.7068,,,,
2026-01-30,146948715164.16,2.8162,,,,,13.8518,,,,,1.0691,,,,,0.0492,15.7013,,,,,2.8653,,,,
2026-01-29,147350214385.92,2.8239,,,,,13.8897,,,,,1.0720,,,,,0.0490,15.7442,,,,,2.8731,,,,
2026-01-28,144941219055.36,2.7778,,,,,13.6626,,,,,1.0545,,,,,0.0499,15.4868,,,,,2.8262,,,,
2026-01-27,139621354367.04,2.6758,,,,,13.1611,,,,,1.0158,,,,,0.0518,14.9184,,,,,2.7224,,,,
2026-01-26,143636346584.64,2.7527,,,,,13.5396,,,,,1.0450,,,,,0.0503,15.3474,,,,,2.8007,,,,
2026-01-23,139019105534.4,2.6643,,,,,13.1044,,,,,1.0114,,,,,0.0520,14.8541,,,,,2.7107,,,,
2026-01-22,141026601643.2,2.7027,,,,,13.2936,,,,,1.0260,,,,,0.0512,15.0686,,,,,2.7498,,,,
2026-01-21,138918730728.96,2.6623,,,,,13.0949,,,,,1.0107,,,,,0.0520,14.8433,,,,,2.7087,,,,
2026-01-20,140424352810.56,2.6912,,,,,13.2368,,,,,1.0216,,,,,0.0515,15.0042,,,,,2.7381,,,,
2026-01-19,139119480339.84,2.6662,,,,,13.1138,,,,,1.0122,,,,,0.0519,14.8648,,,,,2.7127,,,,
2026-01-16,137613858258.24,2.6373,,,,,12.9719,,,,,1.0012,,,,,0.0525,14.7039,,,,,2.6833,,,,
2026-01-15,139621354367.04,2.6758,,,,,13.1611,,,,,1.0158,,,,,0.0518,14.9184,,,,,2.7224,,,,
2026-01-14,140524727616.0,2.6931,,,,,13.2463,,,,,1.0224,,,,,0.0514,15.0149,,,,,2.7401,,,,
2026-01-13,140625102421.44,2.6950,,,,,13.2558,,,,,1.0231,,,,,0.0514,15.0257,,,,,2.7420,,,,
2026-01-12,142431848919.36,2.7297,,,,,13.4261,,,,,1.0363,,,,,0.0507,15.2187,,,,,2.7772,,,,
2026-01-09,143034097752.0,2.7412,,,,,13.4828,,,,,1.0406,,,,,0.0505,15.2831,,,,,2.7890,,,,
2026-01-08,143034097752.0,2.7412,,,,,13.4828,,,,,1.0406,,,,,0.0505,15.2831,,,,,2.7890,,,,
2026-01-07,141026601643.2,2.7027,,,,,13.2936,,,,,1.0260,,,,,0.0512,15.0686,,,,,2.7498,,,,
2026-01-06,136108236176.64,2.6085,,,,,12.8300,,,,,0.9902,,,,,0.0531,14.5430,,,,,2.6539,,,,
2026-01-05,132896242402.56,2.5469,,,,,12.5272,,,,,0.9669,,,,,0.0544,14.1998,,,,,2.5913,,,,
2025-12-31,131992869153.6,2.5296,,,,,12.4421,,,,,0.9603,,,,,0.0548,14.1033,,,,,2.5737,,,,
2025-12-30,132996617208.0,2.5488,,,,,12.5367,,,,,0.9676,,,,,0.0543,14.2106,,,,,2.5933,,,,
2025-12-29,135104488122.24,2.5892,,,,,12.7354,,,,,0.9829,,,,,0.0535,14.4358,,,,,2.6344,,,,
2025-12-26,134803363705.92,2.5835,,,,,12.7070,,,,,0.9808,,,,,0.0536,14.4036,,,,,2.6285,,,,
2025-12-25,133899990456.96,2.5662,,,,,12.6218,,,,,0.9742,,,,,0.0540,14.3071,,,,,2.6109,,,,
2025-12-24,135204862927.68,2.5912,,,,,12.7448,,,,,0.9837,,,,,0.0535,14.4465,,,,,2.6363,,,,
2025-12-23,135004113316.8,2.5873,,,,,12.7259,,,,,0.9822,,,,,0.0535,14.4251,,,,,2.6324,,,,
2025-12-22,135405612538.56,2.5950,,,,,12.7638,,,,,0.9851,,,,,0.0534,14.4680,,,,,2.6402,,,,
2025-12-19,136108236176.64,2.6085,,,,,12.8300,,,,,0.9902,,,,,0.0531,14.5430,,,,,2.6539,,,,
2025-12-18,137714233063.68,2.6392,,,,,12.9814,,,,,1.0019,,,,,0.0525,14.7146,,,,,2.6852,,,,
2025-12-17,132795867597.12,2.5450,,,,,12.5178,,,,,0.9661,,,,,0.0544,14.1891,,,,,2.5893,,,,
2025-12-16,131792119542.72,2.5258,,,,,12.4231,,,,,0.9588,,,,,0.0548,14.0819,,,,,2.5698,,,,
2025-12-15,133197366818.88,2.5527,,,,,12.5556,,,,,0.9691,,,,,0.0543,14.2320,,,,,2.5972,,,,
2025-12-12,133498491235.2,2.5585,,,,,12.5840,,,,,0.9713,,,,,0.0541,14.2642,,,,,2.6030,,,,
2025-12-11,134702988900.48,2.5815,,,,,12.6975,,,,,0.9800,,,,,0.0537,14.3929,,,,,2.6265,,,,
2025-12-10,135004113316.8,2.5873,,,,,12.7259,,,,,0.9822,,,,,0.0535,14.4251,,,,,2.6324,,,,
2025-12-09,134803363705.92,2.5835,,,,,12.7070,,,,,0.9808,,,,,0.0536,14.4036,,,,,2.6285,,,,
2025-12-08,135706736954.88,2.6008,,,,,12.7921,,,,,0.9873,,,,,0.0533,14.5001,,,,,2.6461,,,,
2025-12-05,139420604756.16,2.6720,,,,,13.1422,,,,,1.0143,,,,,0.0518,14.8970,,,,,2.7185,,,,
2025-12-04,139922478783.36,2.6816,,,,,13.1895,,,,,1.0180,,,,,0.0516,14.9506,,,,,2.7283,,,,
2025-12-03,140022853588.8,2.6835,,,,,13.1990,,,,,1.0187,,,,,0.0516,14.9613,,,,,2.7303,,,,
2025-12-02,139822103977.92,2.6796,,,,,13.1801,,,,,1.0173,,,,,0.0517,14.9399,,,,,2.7264,,,,
2025-12-01,140323978005.12,2.6893,,,,,13.2274,,,,,1.0209,,,,,0.0515,14.9935,,,,,2.7361,,,,
2025-11-28,139621354367.04,2.6758,,,,,13.1611,,,,,1.0158,,,,,0.0518,14.9184,,,,,2.7224,,,,
2025-11-27,140524727616.0,2.6931,,,,,13.2463,,,,,1.0224,,,,,0.0514,15.0149,,,,,2.7401,,,,
2025-11-26,138316481896.32,2.6508,,,,,13.0381,,,,,1.0063,,,,,0.0522,14.7790,,,,,2.6970,,,,
2025-11-25,139119480339.84,2.6662,,,,,13.1138,,,,,1.0122,,,,,0.0519,14.8648,,,,,2.7127,,,,
2025-11-24,139119480339.84,2.6662,,,,,13.1138,,,,,1.0122,,,,,0.0519,14.8648,,,,,2.7127,,,,
2025-11-21,140123228394.24,2.6854,,,,,13.2085,,,,,1.0195,,,,,0.0516,14.9720,,,,,2.7322,,,,
2025-11-20,142431848919.36,2.7297,,,,,13.4261,,,,,1.0363,,,,,0.0507,15.2187,,,,,2.7772,,,,
2025-11-19,146045341915.2,2.7989,,,,,13.7667,,,,,1.0625,,,,,0.0495,15.6048,,,,,2.8477,,,,
2025-11-18,144439345028.16,2.7681,,,,,13.6153,,,,,1.0509,,,,,0.0500,15.4332,,,,,2.8164,,,,
2025-11-17,149056586078.4,2.8566,,,,,14.0505,,,,,1.0844,,,,,0.0485,15.9266,,,,,2.9064,,,,
2025-11-14,147049089969.6,2.8181,,,,,13.8613,,,,,1.0698,,,,,0.0491,15.7121,,,,,2.8673,,,,
2025-11-13,150562208160.0,2.8855,,,,,14.1925,,,,,1.0954,,,,,0.0480,16.0874,,,,,2.9358,,,,
2025-11-12,150060334132.8,2.8759,,,,,14.1452,,,,,1.0918,,,,,0.0482,16.0338,,,,,2.9260,,,,
2025-11-11,152168205047.04,2.9163,,,,,14.3438,,,,,1.1071,,,,,0.0475,16.2590,,,,,2.9671,,,,
2025-11-10,157889568957.12,3.0259,,,,,14.8832,,,,,1.1487,,,,,0.0458,16.8704,,,,,3.0786,,,,
2025-11-07,154978699599.36,2.9701,,,,,14.6088,,,,,1.1275,,,,,0.0466,16.5593,,,,,3.0219,,,,
2025-11-06,155982447653.76,2.9894,,,,,14.7034,,,,,1.1348,,,,,0.0463,16.6666,,,,,3.0415,,,,
2025-11-05,155480573626.56,2.9797,,,,,14.6561,,,,,1.1312,,,,,0.0465,16.6130,,,,,3.0317,,,,
2025-11-04,152971203490.56,2.9316,,,,,14.4195,,,,,1.1129,,,,,0.0472,16.3448,,,,,2.9827,,,,
2025-11-03,152971203490.56,2.9316,,,,,14.4195,,,,,1.1129,,,,,0.0472,16.3448,,,,,2.9827,,,,
2025-10-31,147751713607.68,2.8316,,,,,13.9275,,,,,1.0750,,,,,0.0489,15.7871,,,,,2.8810,,,,
2025-10-30,148253587634.88,2.5619,,,,,12.5405,,,,,1.1751,,,,,0.0487,13.4508,,,,,2.5756,,,,
2025-10-29,149458085300.16,2.5827,,,,,12.6424,,,,,1.1847,,,,,0.0484,13.5601,,,,,2.5966,,,,
2025-10-28,147450589191.36,2.5480,,,,,12.4726,,,,,1.1687,,,,,0.0490,13.3780,,,,,2.5617,,,,
2025-10-27,151264831798.08,2.6140,,,,,12.7952,,,,,1.1990,,,,,0.0478,13.7240,,,,,2.6280,,,,
2025-10-24,149959959327.36,2.5914,,,,,12.6849,,,,,1.1886,,,,,0.0482,13.6056,,,,,2.6053,,,,
2025-10-23,149257335689.28,2.5793,,,,,12.6254,,,,,1.1831,,,,,0.0484,13.5419,,,,,2.5931,,,,
2025-10-22,148153212829.44,2.5602,,,,,12.5320,,,,,1.1743,,,,,0.0488,13.4417,,,,,2.5739,,,,
2025-10-21,150662582965.44,2.6035,,,,,12.7443,,,,,1.1942,,,,,0.0480,13.6694,,,,,2.6175,,,,
2025-10-20,155480573626.56,2.6868,,,,,13.1519,,,,,1.2324,,,,,0.0465,14.1065,,,,,2.7012,,,,
2025-10-17,150863332576.32,2.6070,,,,,12.7613,,,,,1.1958,,,,,0.0479,13.6876,,,,,2.6210,,,,
2025-10-16,148554712051.2,2.5671,,,,,12.5660,,,,,1.1775,,,,,0.0486,13.4781,,,,,2.5809,,,,
2025-10-15,143234847362.88,2.4752,,,,,12.1160,,,,,1.1353,,,,,0.0505,12.9955,,,,,2.4884,,,,
2025-10-14,144138220611.84,2.4908,,,,,12.1924,,,,,1.1425,,,,,0.0501,13.0774,,,,,2.5041,,,,
2025-10-13,140223603199.68,2.4232,,,,,11.8613,,,,,1.1115,,,,,0.0515,12.7223,,,,,2.4361,,,,
2025-10-10,140926226837.76,2.4353,,,,,11.9207,,,,,1.1170,,,,,0.0513,12.7860,,,,,2.4483,,,,
2025-10-09,137011609425.6,2.3676,,,,,11.5896,,,,,1.0860,,,,,0.0527,12.4309,,,,,2.3803,,,,
2025-09-30,133598866040.64,2.3087,,,,,11.3009,,,,,1.0589,,,,,0.0541,12.1212,,,,,2.3210,,,,
2025-09-29,134602614095.04,2.3260,,,,,11.3858,,,,,1.0669,,,,,0.0537,12.2123,,,,,2.3385,,,,
2025-09-26,136308985787.52,2.3555,,,,,11.5302,,,,,1.0804,,,,,0.0530,12.3671,,,,,2.3681,,,,
2025-09-25,137714233063.68,2.3798,,,,,11.6490,,,,,1.0916,,,,,0.0525,12.4946,,,,,2.3925,,,,
2025-09-24,137312733841.92,2.3728,,,,,11.6151,,,,,1.0884,,,,,0.0526,12.4582,,,,,2.3856,,,,
2025-09-23,138316481896.32,2.3902,,,,,11.7000,,,,,1.0963,,,,,0.0522,12.5493,,,,,2.4030,,,,
2025-09-22,134903738511.36,2.3312,,,,,11.4113,,,,,1.0693,,,,,0.0536,12.2396,,,,,2.3437,,,,
2025-09-19,136208610982.08,2.3538,,,,,11.5217,,,,,1.0796,,,,,0.0531,12.3580,,,,,2.3664,,,,
2025-09-18,131290245515.52,2.2688,,,,,11.1056,,,,,1.0406,,,,,0.0550,11.9118,,,,,2.2809,,,,
2025-09-17,136710485009.28,2.3624,,,,,11.5641,,,,,1.0836,,,,,0.0529,12.4035,,,,,2.3751,,,,
2025-09-16,133899990456.96,2.3139,,,,,11.3264,,,,,1.0613,,,,,0.0540,12.1485,,,,,2.3263,,,,
2025-09-15,134401864484.16,2.2522,,,,,11.3688,,,,,1.0653,,,,,0.0538,12.1941,,,,,2.2639,,,,
2025-09-12,131892494348.16,2.2102,,,,,11.1566,,,,,1.0454,,,,,0.0548,11.9664,,,,,2.2217,,,,
2025-09-11,131490995126.4,2.2035,,,,,11.1226,,,,,1.0422,,,,,0.0550,11.9300,,,,,2.2149,,,,
2025-09-10,130989121099.2,2.1950,,,,,11.0802,,,,,1.0383,,,,,0.0552,11.8844,,,,,2.2064,,,,
2025-09-09,132293993569.92,2.2169,,,,,11.1905,,,,,1.0486,,,,,0.0546,12.0028,,,,,2.2284,,,,
2025-09-08,132494743180.8,2.2203,,,,,11.2075,,,,,1.0502,,,,,0.0545,12.0211,,,,,2.2318,,,,
2025-09-05,130386872266.56,2.1849,,,,,11.0292,,,,,1.0335,,,,,0.0554,11.8298,,,,,2.1963,,,,
2025-09-04,128680500574.08,2.1564,,,,,10.8849,,,,,1.0200,,,,,0.0562,11.6750,,,,,2.1676,,,,
2025-09-03,129081999795.84,2.1631,,,,,10.9188,,,,,1.0231,,,,,0.0560,11.7114,,,,,2.1743,,,,
2025-09-02,130386872266.56,2.1849,,,,,11.0292,,,,,1.0335,,,,,0.0554,11.8298,,,,,2.1963,,,,
2025-09-01,131189870710.08,2.1984,,,,,11.0971,,,,,1.0399,,,,,0.0551,11.9027,,,,,2.2098,,,,
2025-08-29,129985373044.8,2.2840,,,,,9.7161,,,,,1.0014,,,,,0.0595,10.0360,,,,,2.2960,,,,
2025-08-28,130386872266.56,2.2910,,,,,9.7461,,,,,1.0045,,,,,0.0593,10.0669,,,,,2.3031,,,,
2025-08-27,130085747850.24,2.2858,,,,,9.7236,,,,,1.0022,,,,,0.0594,10.0437,,,,,2.2978,,,,
2025-08-26,133398116429.76,2.3440,,,,,9.9712,,,,,1.0277,,,,,0.0579,10.2994,,,,,2.3563,,,,
2025-08-25,134702988900.48,2.3669,,,,,10.0687,,,,,1.0377,,,,,0.0574,10.4002,,,,,2.3794,,,,
2025-08-22,132193618764.48,2.3228,,,,,9.8812,,,,,1.0184,,,,,0.0585,10.2064,,,,,2.3350,,,,
2025-08-21,132695492791.68,2.3316,,,,,9.9187,,,,,1.0223,,,,,0.0582,10.2452,,,,,2.3439,,,,
