date,stockCode,成交量
2025-12-05T00:00:00+08:00,002475,71699600
2025-12-08T00:00:00+08:00,002475,111448100
2025-12-09T00:00:00+08:00,002475,110658100
2025-12-10T00:00:00+08:00,002475,95668500
2025-12-11T00:00:00+08:00,002475,87639800
2025-12-12T00:00:00+08:00,002475,132191900
2025-12-15T00:00:00+08:00,002475,122673500
2025-12-16T00:00:00+08:00,002475,72496000
2025-12-17T00:00:00+08:00,002475,76178600
2025-12-18T00:00:00+08:00,002475,59964700
2025-12-19T00:00:00+08:00,002475,61846100
2025-12-22T00:00:00+08:00,002475,77726300
2025-12-23T00:00:00+08:00,002475,77505600
2025-12-24T00:00:00+08:00,002475,91859300
2025-12-25T00:00:00+08:00,002475,79411000
2025-12-26T00:00:00+08:00,002475,74266500
2025-12-29T00:00:00+08:00,002475,93055100
2025-12-30T00:00:00+08:00,002475,99164700
2025-12-31T00:00:00+08:00,002475,104905200
2026-01-05T00:00:00+08:00,002475,159455300
2026-01-06T00:00:00+08:00,002475,141540000
2026-01-07T00:00:00+08:00,002475,187357400
2026-01-08T00:00:00+08:00,002475,240111700
2026-01-09T00:00:00+08:00,002475,154079000
2026-01-12T00:00:00+08:00,002475,188390500
2026-01-13T00:00:00+08:00,002475,133498200
2026-01-14T00:00:00+08:00,002475,169913900
2026-01-15T00:00:00+08:00,002475,262847100
2026-01-16T00:00:00+08:00,002475,259990300
2026-01-19T00:00:00+08:00,002475,195720000
2026-01-20T00:00:00+08:00,002475,177226000
2026-01-21T00:00:00+08:00,002475,111719900
2026-01-22T00:00:00+08:00,002475,149804200
2026-01-23T00:00:00+08:00,002475,144925400
2026-01-26T00:00:00+08:00,002475,127111200
2026-01-27T00:00:00+08:00,002475,122784300
2026-01-28T00:00:00+08:00,002475,151194900
2026-01-29T00:00:00+08:00,002475,147260600
2026-01-30T00:00:00+08:00,002475,108558800
2026-02-02T00:00:00+08:00,002475,138486200
2026-02-03T00:00:00+08:00,002475,104663800
2026-02-04T00:00:00+08:00,002475,124442400
2026-02-05T00:00:00+08:00,002475,75985900
2026-02-06T00:00:00+08:00,002475,72491100
2026-02-09T00:00:00+08:00,002475,77530000
2026-02-10T00:00:00+08:00,002475,74683100
2026-02-11T00:00:00+08:00,002475,68945200
2026-02-12T00:00:00+08:00,002475,97024000
2026-02-13T00:00:00+08:00,002475,114492600
2026-02-24T00:00:00+08:00,002475,84415300
2026-02-25T00:00:00+08:00,002475,124704800
2026-02-26T00:00:00+08:00,002475,106425100
2026-02-27T00:00:00+08:00,002475,127271600
2026-03-02T00:00:00+08:00,002475,128983400
2026-03-03T00:00:00+08:00,002475,136026500
2026-03-04T00:00:00+08:00,002475,119890600
2026-03-05T00:00:00+08:00,002475,100873300
2026-03-06T00:00:00+08:00,002475,73249600
2026-03-09T00:00:00+08:00,002475,97374900
2026-03-10T00:00:00+08:00,002475,181409400
2026-03-11T00:00:00+08:00,002475,168648400
2026-03-12T00:00:00+08:00,002475,86041600
2026-03-13T00:00:00+08:00,002475,81983300
2026-03-16T00:00:00+08:00,002475,96527200
2026-03-17T00:00:00+08:00,002475,185009500
2026-03-18T00:00:00+08:00,002475,86120500
2026-03-19T00:00:00+08:00,002475,91805900
2026-03-20T00:00:00+08:00,002475,100484500
2026-03-23T00:00:00+08:00,002475,101744600
2026-03-24T00:00:00+08:00,002475,110560700
2026-03-25T00:00:00+08:00,002475,260886100
2026-03-26T00:00:00+08:00,002475,220019400
2026-03-27T00:00:00+08:00,002475,174981100
2026-03-30T00:00:00+08:00,002475,159640600
2026-03-31T00:00:00+08:00,002475,167150500
2026-04-01T00:00:00+08:00,002475,110977700
2026-04-02T00:00:00+08:00,002475,85965900
2026-04-03T00:00:00+08:00,002475,74514500
2026-04-07T00:00:00+08:00,002475,79987800
2026-04-08T00:00:00+08:00,002475,201928700
2026-04-09T00:00:00+08:00,002475,299603100
2026-04-10T00:00:00+08:00,002475,386896900
2026-04-13T00:00:00+08:00,002475,238813200
2026-04-14T00:00:00+08:00,002475,243274500
2026-04-15T00:00:00+08:00,002475,198003800
2026-04-16T00:00:00+08:00,002475,199642200
