date,stockCode,PS-TTM
2025-12-31T00:00:00+08:00,002475,1.322
2026-01-05T00:00:00+08:00,002475,1.3649
2026-01-06T00:00:00+08:00,002475,1.3805
2026-01-07T00:00:00+08:00,002475,1.3416
2026-01-08T00:00:00+08:00,002475,1.2859
2026-01-09T00:00:00+08:00,002475,1.2973
2026-01-12T00:00:00+08:00,002475,1.2922
2026-01-13T00:00:00+08:00,002475,1.2724
2026-01-14T00:00:00+08:00,002475,1.2491
2026-01-15T00:00:00+08:00,002475,1.3374
2026-01-16T00:00:00+08:00,002475,1.354
2026-01-19T00:00:00+08:00,002475,1.3488
2026-01-20T00:00:00+08:00,002475,1.3395
2026-01-21T00:00:00+08:00,002475,1.3302
2026-01-22T00:00:00+08:00,002475,1.315
2026-01-23T00:00:00+08:00,002475,1.2938
2026-01-26T00:00:00+08:00,002475,1.261
2026-01-27T00:00:00+08:00,002475,1.2523
2026-01-28T00:00:00+08:00,002475,1.2421
2026-01-29T00:00:00+08:00,002475,1.2097
2026-01-30T00:00:00+08:00,002475,1.205
2026-02-02T00:00:00+08:00,002475,1.2174
2026-02-03T00:00:00+08:00,002475,1.223
2026-02-04T00:00:00+08:00,002475,1.2099
2026-02-05T00:00:00+08:00,002475,1.2053
2026-02-06T00:00:00+08:00,002475,1.1929
2026-02-09T00:00:00+08:00,002475,1.2057
2026-02-10T00:00:00+08:00,002475,1.205
2026-02-11T00:00:00+08:00,002475,1.1924
2026-02-12T00:00:00+08:00,002475,1.1757
2026-02-13T00:00:00+08:00,002475,1.1843
2026-02-24T00:00:00+08:00,002475,1.1803
2026-02-25T00:00:00+08:00,002475,1.2025
2026-02-26T00:00:00+08:00,002475,1.1927
2026-02-27T00:00:00+08:00,002475,1.1708
2026-03-02T00:00:00+08:00,002475,1.1449
2026-03-03T00:00:00+08:00,002475,1.1048
2026-03-04T00:00:00+08:00,002475,1.0789
2026-03-05T00:00:00+08:00,002475,1.0957
2026-03-06T00:00:00+08:00,002475,1.1027
2026-03-09T00:00:00+08:00,002475,1.084
2026-03-10T00:00:00+08:00,002475,1.1514
2026-03-11T00:00:00+08:00,002475,1.1696
2026-03-12T00:00:00+08:00,002475,1.1586
2026-03-13T00:00:00+08:00,002475,1.15
2026-03-16T00:00:00+08:00,002475,1.1484
2026-03-17T00:00:00+08:00,002475,1.1617
2026-03-18T00:00:00+08:00,002475,1.1502
2026-03-19T00:00:00+08:00,002475,1.1199
2026-03-20T00:00:00+08:00,002475,1.1241
2026-03-23T00:00:00+08:00,002475,1.0794
2026-03-24T00:00:00+08:00,002475,1.0803
2026-03-25T00:00:00+08:00,002475,1.1882
2026-03-26T00:00:00+08:00,002475,1.1701
2026-03-27T00:00:00+08:00,002475,1.1799
2026-03-30T00:00:00+08:00,002475,1.1367
2026-03-31T00:00:00+08:00,002475,1.1484
2026-04-01T00:00:00+08:00,002475,1.175
2026-04-02T00:00:00+08:00,002475,1.1631
2026-04-03T00:00:00+08:00,002475,1.1377
2026-04-07T00:00:00+08:00,002475,1.1281
2026-04-08T00:00:00+08:00,002475,1.2186
2026-04-09T00:00:00+08:00,002475,1.2843
2026-04-10T00:00:00+08:00,002475,1.3563
2026-04-13T00:00:00+08:00,002475,1.3661
2026-04-14T00:00:00+08:00,002475,1.3787
2026-04-15T00:00:00+08:00,002475,1.2886
2026-04-16T00:00:00+08:00,002475,1.3252
