date,stockCode,PB
2025-09-15T00:00:00+08:00,002475,5.1549
2025-09-16T00:00:00+08:00,002475,5.1207
2025-09-17T00:00:00+08:00,002475,5.0835
2025-09-18T00:00:00+08:00,002475,5.1911
2025-09-19T00:00:00+08:00,002475,5.4159
2025-09-22T00:00:00+08:00,002475,5.9574
2025-09-23T00:00:00+08:00,002475,6.4216
2025-09-24T00:00:00+08:00,002475,6.8615
2025-09-25T00:00:00+08:00,002475,6.7188
2025-09-26T00:00:00+08:00,002475,6.2799
2025-09-29T00:00:00+08:00,002475,6.3337
2025-09-30T00:00:00+08:00,002475,6.3489
2025-10-09T00:00:00+08:00,002475,6.4088
2025-10-10T00:00:00+08:00,002475,5.9671
2025-10-13T00:00:00+08:00,002475,5.6678
2025-10-14T00:00:00+08:00,002475,5.3989
2025-10-15T00:00:00+08:00,002475,5.7119
2025-10-16T00:00:00+08:00,002475,5.8101
2025-10-17T00:00:00+08:00,002475,5.446
2025-10-20T00:00:00+08:00,002475,5.6089
2025-10-21T00:00:00+08:00,002475,6.0015
2025-10-22T00:00:00+08:00,002475,5.8994
2025-10-23T00:00:00+08:00,002475,5.9023
2025-10-24T00:00:00+08:00,002475,6.2723
2025-10-27T00:00:00+08:00,002475,6.4186
2025-10-28T00:00:00+08:00,002475,6.3459
2025-10-29T00:00:00+08:00,002475,6.6031
2025-10-30T00:00:00+08:00,002475,6.3832
2025-10-31T00:00:00+08:00,002475,5.7524
2025-11-03T00:00:00+08:00,002475,5.7451
2025-11-04T00:00:00+08:00,002475,5.5278
2025-11-05T00:00:00+08:00,002475,5.568
2025-11-06T00:00:00+08:00,002475,5.6301
2025-11-07T00:00:00+08:00,002475,5.4694
2025-11-10T00:00:00+08:00,002475,5.3324
2025-11-11T00:00:00+08:00,002475,5.158
2025-11-12T00:00:00+08:00,002475,5.2749
2025-11-13T00:00:00+08:00,002475,5.2393
2025-11-14T00:00:00+08:00,002475,5.1598
2025-11-17T00:00:00+08:00,002475,5.1635
2025-11-18T00:00:00+08:00,002475,5.169
2025-11-19T00:00:00+08:00,002475,5.1818
2025-11-20T00:00:00+08:00,002475,5.0905
2025-11-21T00:00:00+08:00,002475,4.8257
2025-11-24T00:00:00+08:00,002475,4.8622
2025-11-25T00:00:00+08:00,002475,5.0859
2025-11-26T00:00:00+08:00,002475,5.2594
2025-11-27T00:00:00+08:00,002475,5.2009
2025-11-28T00:00:00+08:00,002475,5.2758
2025-12-01T00:00:00+08:00,002475,5.3516
2025-12-02T00:00:00+08:00,002475,5.4785
2025-12-03T00:00:00+08:00,002475,5.3708
2025-12-04T00:00:00+08:00,002475,5.4447
2025-12-05T00:00:00+08:00,002475,5.41
2025-12-08T00:00:00+08:00,002475,5.4858
2025-12-09T00:00:00+08:00,002475,5.5333
2025-12-10T00:00:00+08:00,002475,5.4356
2025-12-11T00:00:00+08:00,002475,5.3187
2025-12-12T00:00:00+08:00,002475,5.5132
2025-12-15T00:00:00+08:00,002475,5.2375
2025-12-16T00:00:00+08:00,002475,5.2347
2025-12-17T00:00:00+08:00,002475,5.3562
2025-12-18T00:00:00+08:00,002475,5.2028
2025-12-19T00:00:00+08:00,002475,5.1845
2025-12-22T00:00:00+08:00,002475,5.2712
2025-12-23T00:00:00+08:00,002475,5.3005
2025-12-24T00:00:00+08:00,002475,5.4137
2025-12-25T00:00:00+08:00,002475,5.4265
2025-12-26T00:00:00+08:00,002475,5.3324
2025-12-29T00:00:00+08:00,002475,5.316
2025-12-30T00:00:00+08:00,002475,5.3023
2025-12-31T00:00:00+08:00,002475,5.181
2026-01-05T00:00:00+08:00,002475,5.3491
2026-01-06T00:00:00+08:00,002475,5.4103
2026-01-07T00:00:00+08:00,002475,5.2577
2026-01-08T00:00:00+08:00,002475,5.0394
2026-01-09T00:00:00+08:00,002475,5.0841
2026-01-12T00:00:00+08:00,002475,5.064
2026-01-13T00:00:00+08:00,002475,4.9864
2026-01-14T00:00:00+08:00,002475,4.895
2026-01-15T00:00:00+08:00,002475,5.2413
2026-01-16T00:00:00+08:00,002475,5.3061
2026-01-19T00:00:00+08:00,002475,5.286
2026-01-20T00:00:00+08:00,002475,5.2495
2026-01-21T00:00:00+08:00,002475,5.2129
2026-01-22T00:00:00+08:00,002475,5.1536
2026-01-23T00:00:00+08:00,002475,5.0704
2026-01-26T00:00:00+08:00,002475,4.9416
2026-01-27T00:00:00+08:00,002475,4.9078
2026-01-28T00:00:00+08:00,002475,4.8676
2026-01-29T00:00:00+08:00,002475,4.7406
2026-01-30T00:00:00+08:00,002475,4.7223
2026-02-02T00:00:00+08:00,002475,4.7708
2026-02-03T00:00:00+08:00,002475,4.7927
2026-02-04T00:00:00+08:00,002475,4.7415
2026-02-05T00:00:00+08:00,002475,4.7234
2026-02-06T00:00:00+08:00,002475,4.6749
2026-02-09T00:00:00+08:00,002475,4.7252
2026-02-10T00:00:00+08:00,002475,4.7224
2026-02-11T00:00:00+08:00,002475,4.6731
2026-02-12T00:00:00+08:00,002475,4.6756
2026-02-13T00:00:00+08:00,002475,4.7099
2026-02-24T00:00:00+08:00,002475,4.6942
2026-02-25T00:00:00+08:00,002475,4.7823
2026-02-26T00:00:00+08:00,002475,4.7433
2026-02-27T00:00:00+08:00,002475,4.6562
2026-03-02T00:00:00+08:00,002475,4.5533
2026-03-03T00:00:00+08:00,002475,4.3938
2026-03-04T00:00:00+08:00,002475,4.2909
2026-03-05T00:00:00+08:00,002475,4.3576
2026-03-06T00:00:00+08:00,002475,4.3854
2026-03-09T00:00:00+08:00,002475,4.3113
2026-03-10T00:00:00+08:00,002475,4.5792
2026-03-11T00:00:00+08:00,002475,4.6515
2026-03-12T00:00:00+08:00,002475,4.608
2026-03-13T00:00:00+08:00,002475,4.5737
2026-03-16T00:00:00+08:00,002475,4.5672
2026-03-17T00:00:00+08:00,002475,4.62
2026-03-18T00:00:00+08:00,002475,4.5746
2026-03-19T00:00:00+08:00,002475,4.4541
2026-03-20T00:00:00+08:00,002475,4.4707
2026-03-23T00:00:00+08:00,002475,4.2927
2026-03-24T00:00:00+08:00,002475,4.2964
2026-03-25T00:00:00+08:00,002475,4.7257
2026-03-26T00:00:00+08:00,002475,4.6534
2026-03-27T00:00:00+08:00,002475,4.6923
2026-03-30T00:00:00+08:00,002475,4.5208
2026-03-31T00:00:00+08:00,002475,4.5672
2026-04-01T00:00:00+08:00,002475,4.6729
2026-04-02T00:00:00+08:00,002475,4.6256
2026-04-03T00:00:00+08:00,002475,4.5245
2026-04-07T00:00:00+08:00,002475,4.4865
2026-04-08T00:00:00+08:00,002475,4.8462
2026-04-09T00:00:00+08:00,002475,5.1077
2026-04-10T00:00:00+08:00,002475,5.3942
2026-04-13T00:00:00+08:00,002475,5.4331
2026-04-14T00:00:00+08:00,002475,5.4832
2026-04-15T00:00:00+08:00,002475,5.0747
2026-04-16T00:00:00+08:00,002475,5.2188
