date,stockCode,PB
2025-09-11T00:00:00+08:00,000333,2.7344
2025-09-12T00:00:00+08:00,000333,2.6829
2025-09-15T00:00:00+08:00,000333,2.6687
2025-09-16T00:00:00+08:00,000333,2.6435
2025-09-17T00:00:00+08:00,000333,2.6396
2025-09-18T00:00:00+08:00,000333,2.618
2025-09-19T00:00:00+08:00,000333,2.6396
2025-09-22T00:00:00+08:00,000333,2.6009
2025-09-23T00:00:00+08:00,000333,2.6105
2025-09-24T00:00:00+08:00,000333,2.6308
2025-09-25T00:00:00+08:00,000333,2.586
2025-09-26T00:00:00+08:00,000333,2.6343
2025-09-29T00:00:00+08:00,000333,2.6176
2025-09-30T00:00:00+08:00,000333,2.5796
2025-10-09T00:00:00+08:00,000333,2.5786
2025-10-10T00:00:00+08:00,000333,2.5857
2025-10-13T00:00:00+08:00,000333,2.5495
2025-10-14T00:00:00+08:00,000333,2.5775
2025-10-15T00:00:00+08:00,000333,2.5889
2025-10-16T00:00:00+08:00,000333,2.5981
2025-10-17T00:00:00+08:00,000333,2.5846
2025-10-20T00:00:00+08:00,000333,2.5871
2025-10-21T00:00:00+08:00,000333,2.5885
2025-10-22T00:00:00+08:00,000333,2.6229
2025-10-23T00:00:00+08:00,000333,2.6588
2025-10-24T00:00:00+08:00,000333,2.6489
2025-10-27T00:00:00+08:00,000333,2.6584
2025-10-28T00:00:00+08:00,000333,2.6418
2025-10-29T00:00:00+08:00,000333,2.6414
2025-10-30T00:00:00+08:00,000333,2.6194
2025-10-31T00:00:00+08:00,000333,2.6577
2025-11-03T00:00:00+08:00,000333,2.6226
2025-11-04T00:00:00+08:00,000333,2.6146
2025-11-05T00:00:00+08:00,000333,2.6417
2025-11-06T00:00:00+08:00,000333,2.6796
2025-11-07T00:00:00+08:00,000333,2.6507
2025-11-10T00:00:00+08:00,000333,2.69
2025-11-11T00:00:00+08:00,000333,2.6866
2025-11-12T00:00:00+08:00,000333,2.7697
2025-11-13T00:00:00+08:00,000333,2.7735
2025-11-14T00:00:00+08:00,000333,2.7607
2025-11-17T00:00:00+08:00,000333,2.7324
2025-11-18T00:00:00+08:00,000333,2.7447
2025-11-19T00:00:00+08:00,000333,2.7447
2025-11-20T00:00:00+08:00,000333,2.7639
2025-11-21T00:00:00+08:00,000333,2.7926
2025-11-24T00:00:00+08:00,000333,2.7858
2025-11-25T00:00:00+08:00,000333,2.7908
2025-11-26T00:00:00+08:00,000333,2.8298
2025-11-27T00:00:00+08:00,000333,2.8298
2025-11-28T00:00:00+08:00,000333,2.8319
2025-12-01T00:00:00+08:00,000333,2.8369
2025-12-02T00:00:00+08:00,000333,2.8922
2025-12-03T00:00:00+08:00,000333,2.9139
2025-12-04T00:00:00+08:00,000333,2.9039
2025-12-05T00:00:00+08:00,000333,2.916
2025-12-08T00:00:00+08:00,000333,2.9011
2025-12-09T00:00:00+08:00,000333,2.8462
2025-12-10T00:00:00+08:00,000333,2.8415
2025-12-11T00:00:00+08:00,000333,2.8142
2025-12-12T00:00:00+08:00,000333,2.8149
2025-12-15T00:00:00+08:00,000333,2.8536
2025-12-16T00:00:00+08:00,000333,2.8376
2025-12-17T00:00:00+08:00,000333,2.8557
2025-12-18T00:00:00+08:00,000333,2.833
2025-12-19T00:00:00+08:00,000333,2.7854
2025-12-22T00:00:00+08:00,000333,2.7752
2025-12-23T00:00:00+08:00,000333,2.7924
2025-12-24T00:00:00+08:00,000333,2.7626
2025-12-25T00:00:00+08:00,000333,2.7553
2025-12-26T00:00:00+08:00,000333,2.7651
2025-12-29T00:00:00+08:00,000333,2.749
2025-12-30T00:00:00+08:00,000333,2.7644
2025-12-31T00:00:00+08:00,000333,2.7396
2026-01-05T00:00:00+08:00,000333,2.7582
2026-01-06T00:00:00+08:00,000333,2.7638
2026-01-07T00:00:00+08:00,000333,2.7824
2026-01-08T00:00:00+08:00,000333,2.7704
2026-01-09T00:00:00+08:00,000333,2.7964
2026-01-12T00:00:00+08:00,000333,2.7561
2026-01-13T00:00:00+08:00,000333,2.6712
2026-01-14T00:00:00+08:00,000333,2.7045
2026-01-15T00:00:00+08:00,000333,2.707
2026-01-16T00:00:00+08:00,000333,2.7102
2026-01-19T00:00:00+08:00,000333,2.721
2026-01-20T00:00:00+08:00,000333,2.7694
2026-01-21T00:00:00+08:00,000333,2.7266
2026-01-22T00:00:00+08:00,000333,2.7165
2026-01-23T00:00:00+08:00,000333,2.6916
2026-01-26T00:00:00+08:00,000333,2.6765
2026-01-27T00:00:00+08:00,000333,2.6677
2026-01-28T00:00:00+08:00,000333,2.6411
2026-01-29T00:00:00+08:00,000333,2.7301
2026-01-30T00:00:00+08:00,000333,2.72
2026-02-02T00:00:00+08:00,000333,2.7291
2026-02-03T00:00:00+08:00,000333,2.7312
2026-02-04T00:00:00+08:00,000333,2.7978
2026-02-05T00:00:00+08:00,000333,2.8202
2026-02-06T00:00:00+08:00,000333,2.7883
2026-02-09T00:00:00+08:00,000333,2.775
2026-02-10T00:00:00+08:00,000333,2.8111
2026-02-11T00:00:00+08:00,000333,2.7936
2026-02-12T00:00:00+08:00,000333,2.7974
2026-02-13T00:00:00+08:00,000333,2.7711
2026-02-24T00:00:00+08:00,000333,2.7876
2026-02-25T00:00:00+08:00,000333,2.7939
2026-02-26T00:00:00+08:00,000333,2.7782
2026-02-27T00:00:00+08:00,000333,2.7568
2026-03-02T00:00:00+08:00,000333,2.7151
2026-03-03T00:00:00+08:00,000333,2.6839
2026-03-04T00:00:00+08:00,000333,2.6698
2026-03-05T00:00:00+08:00,000333,2.6737
2026-03-06T00:00:00+08:00,000333,2.6825
2026-03-09T00:00:00+08:00,000333,2.6435
2026-03-10T00:00:00+08:00,000333,2.6853
2026-03-11T00:00:00+08:00,000333,2.713
2026-03-12T00:00:00+08:00,000333,2.7133
2026-03-13T00:00:00+08:00,000333,2.6944
2026-03-16T00:00:00+08:00,000333,2.6867
2026-03-17T00:00:00+08:00,000333,2.6853
2026-03-18T00:00:00+08:00,000333,2.7014
2026-03-19T00:00:00+08:00,000333,2.6642
2026-03-20T00:00:00+08:00,000333,2.6334
2026-03-23T00:00:00+08:00,000333,2.572
2026-03-24T00:00:00+08:00,000333,2.6022
2026-03-25T00:00:00+08:00,000333,2.6222
2026-03-26T00:00:00+08:00,000333,2.6053
2026-03-27T00:00:00+08:00,000333,2.6215
2026-03-30T00:00:00+08:00,000333,2.5275
2026-03-31T00:00:00+08:00,000333,2.6006
2026-04-01T00:00:00+08:00,000333,2.6173
2026-04-02T00:00:00+08:00,000333,2.6353
2026-04-03T00:00:00+08:00,000333,2.6006
2026-04-07T00:00:00+08:00,000333,2.5928
2026-04-08T00:00:00+08:00,000333,2.6135
2026-04-09T00:00:00+08:00,000333,2.6064
2026-04-10T00:00:00+08:00,000333,2.6026
2026-04-13T00:00:00+08:00,000333,2.5812
2026-04-14T00:00:00+08:00,000333,2.6074
2026-04-15T00:00:00+08:00,000333,2.6394
2026-04-16T00:00:00+08:00,000333,2.6534
