date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-05-18,315646439304.0,6.6817,,,,,3.6828,,,,,0.0107,26.4662,,,,,6.7240,,,,,28.2205,,,,
2026-05-15,317097687300.8,6.7125,,,,,3.6997,,,,,0.0106,26.5879,,,,,6.7549,,,,,28.3502,,,,
2026-05-14,279945738582.7201,5.9260,,,,,3.2663,,,,,0.0120,23.4728,,,,,5.9635,,,,,25.0287,,,,
2026-05-13,295743609633.6001,6.2604,,,,,3.4506,,,,,0.0114,24.7974,,,,,6.3000,,,,,26.4411,,,,
2026-05-12,289938617646.4,6.1375,,,,,3.3828,,,,,0.0116,24.3107,,,,,6.1764,,,,,25.9221,,,,
2026-05-11,298625373512.96,6.1369,,,,,3.4842,,,,,0.0113,25.0390,,,,,6.1746,,,,,26.6987,,,,
2026-05-08,289938617646.4,5.9584,,,,,3.3828,,,,,0.0116,24.3107,,,,,5.9950,,,,,25.9221,,,,
2026-05-07,289212993648.0,5.9435,,,,,3.3744,,,,,0.0117,24.2498,,,,,5.9800,,,,,25.8572,,,,
2026-05-06,291348401414.7201,5.9873,,,,,3.3993,,,,,0.0116,24.4289,,,,,6.0241,,,,,26.0481,,,,
2026-04-30,284879981771.84,5.8544,,,,,3.3238,,,,,0.0118,23.8865,,,,,5.8904,,,,,25.4698,,,,
2026-04-29,286248301311.68,5.8825,,,,,3.3398,,,,,0.0118,24.0013,,,,,5.9187,,,,,25.5921,,,,
2026-04-28,269289431863.36,5.5340,,,,,3.1419,,,,,0.0125,22.5793,,,,,5.5680,,,,,24.0759,,,,
2026-04-27,272399248999.36,5.8441,,,,,3.0543,,,,,0.0124,20.2358,,,,,5.8816,,,,,21.2330,,,,
2026-04-24,277374956416.96,5.9509,,,,,3.1101,,,,,0.0122,20.6054,,,,,5.9890,,,,,21.6209,,,,
2026-04-23,278846936528.0,5.9824,,,,,3.1266,,,,,0.0121,20.7147,,,,,6.0208,,,,,21.7356,,,,
2026-04-22,283843376059.84,6.0896,,,,,3.1827,,,,,0.0119,21.0859,,,,,6.1287,,,,,22.1251,,,,
2026-04-21,282433592291.52,6.0594,,,,,3.1669,,,,,0.0119,20.9812,,,,,6.0982,,,,,22.0152,,,,
2026-04-20,280298184524.8,6.0136,,,,,3.1429,,,,,0.0120,20.8226,,,,,6.0521,,,,,21.8487,,,,
2026-04-17,275218816536.0,5.9046,,,,,3.0860,,,,,0.0122,20.4452,,,,,5.9425,,,,,21.4528,,,,
2026-04-16,277603009673.6001,5.9558,,,,,3.1127,,,,,0.0121,20.6223,,,,,5.9939,,,,,21.6386,,,,
2026-04-15,277582277559.36,5.9553,,,,,3.1125,,,,,0.0121,20.6208,,,,,5.9935,,,,,21.6370,,,,
2026-04-14,289130065191.0401,6.2031,,,,,3.2419,,,,,0.0116,21.4786,,,,,6.2428,,,,,22.5372,,,,
2026-04-13,278307901557.76,5.9709,,,,,3.1206,,,,,0.0121,20.6747,,,,,6.0092,,,,,21.6936,,,,
2026-04-10,271155322144.96,5.8174,,,,,3.0404,,,,,0.0124,20.1434,,,,,5.8547,,,,,21.1361,,,,
2026-04-09,256663574291.2,5.5065,,,,,2.8779,,,,,0.0131,19.0668,,,,,5.5418,,,,,20.0065,,,,
2026-04-08,263277118733.76,5.6484,,,,,2.9521,,,,,0.0128,19.5581,,,,,5.6846,,,,,20.5220,,,,
2026-04-07,253512292926.72,5.4389,,,,,2.8426,,,,,0.0133,18.8327,,,,,5.4738,,,,,19.7608,,,,
2026-04-03,255668432807.68,5.4852,,,,,2.8667,,,,,0.0132,18.9929,,,,,5.5203,,,,,19.9289,,,,
2026-04-02,263816153704.0,5.6600,,,,,2.9581,,,,,0.0128,19.5981,,,,,5.6963,,,,,20.5640,,,,
2026-04-01,278743275956.8,5.9802,,,,,3.1255,,,,,0.0121,20.7070,,,,,6.0186,,,,,21.7275,,,,
2026-03-31,312557354282.24,6.9511,,,,,3.3140,,,,,0.0133,20.4046,,,,,6.9973,,,,,21.1212,,,,
2026-03-30,325701514710.4,7.2434,,,,,3.4534,,,,,0.0128,21.2627,,,,,7.2916,,,,,22.0094,,,,
2026-03-27,338659086110.4,7.5316,,,,,3.5908,,,,,0.0123,22.1086,,,,,7.5817,,,,,22.8850,,,,
2026-03-26,344153096384.0,7.6538,,,,,3.6491,,,,,0.0121,22.4673,,,,,7.7047,,,,,23.2563,,,,
2026-03-25,346392164721.9201,7.7036,,,,,3.6728,,,,,0.0120,22.6135,,,,,7.7548,,,,,23.4076,,,,
2026-03-24,341416457304.32,7.5929,,,,,3.6200,,,,,0.0122,22.2887,,,,,7.6434,,,,,23.0713,,,,
2026-03-23,349419053400.96,7.7709,,,,,3.7049,,,,,0.0119,22.8111,,,,,7.8226,,,,,23.6121,,,,
2026-03-20,359909503206.4,8.0042,,,,,3.8161,,,,,0.0116,23.4959,,,,,8.0574,,,,,24.3210,,,,
2026-03-19,342287206102.4,7.6123,,,,,3.6293,,,,,0.0122,22.3455,,,,,7.6629,,,,,23.1302,,,,
2026-03-18,345376291124.1601,7.6810,,,,,3.6620,,,,,0.0121,22.5472,,,,,7.7321,,,,,23.3389,,,,
2026-03-17,345148237867.52,7.6759,,,,,3.6596,,,,,0.0121,22.5323,,,,,7.7269,,,,,23.3235,,,,
2026-03-16,358665576352.0,7.9765,,,,,3.8029,,,,,0.0116,23.4147,,,,,8.0296,,,,,24.2369,,,,
2026-03-13,363620551655.36,8.0867,,,,,3.8555,,,,,0.0115,23.7382,,,,,8.1405,,,,,24.5718,,,,
2026-03-12,358872897494.4,7.9811,,,,,3.8051,,,,,0.0116,23.4283,,,,,8.0342,,,,,24.2510,,,,
2026-03-11,354353296590.08,7.8806,,,,,3.7572,,,,,0.0118,23.1332,,,,,7.9330,,,,,23.9455,,,,
2026-03-10,323628303286.4,7.1973,,,,,3.4314,,,,,0.0129,21.1274,,,,,7.2452,,,,,21.8693,,,,
2026-03-09,323006339859.2,7.1835,,,,,3.4248,,,,,0.0129,21.0868,,,,,7.2313,,,,,21.8273,,,,
2026-03-06,310567071315.2,6.9068,,,,,3.2929,,,,,0.0134,20.2747,,,,,6.9528,,,,,20.9867,,,,
2026-03-05,307788968007.0401,6.8451,,,,,3.2635,,,,,0.0135,20.0934,,,,,6.8906,,,,,20.7989,,,,
2026-03-04,308307270863.0401,6.8566,,,,,3.2690,,,,,0.0135,20.1272,,,,,6.9022,,,,,20.8340,,,,
2026-03-03,311997587197.76,6.9387,,,,,3.3081,,,,,0.0134,20.3681,,,,,6.9848,,,,,21.0833,,,,
2026-03-02,309696322517.12,6.8875,,,,,3.2837,,,,,0.0135,20.2179,,,,,6.9333,,,,,20.9278,,,,
2026-02-27,299579050768.0,6.6625,,,,,3.1764,,,,,0.0139,19.5574,,,,,6.7068,,,,,20.2442,,,,
2026-02-26,301963243905.6001,6.7155,,,,,3.2017,,,,,0.0138,19.7130,,,,,6.7602,,,,,20.4053,,,,
2026-02-25,319481880438.4,7.1051,,,,,3.3875,,,,,0.0130,20.8567,,,,,7.1523,,,,,21.5891,,,,
2026-02-24,312246372568.64,6.9442,,,,,3.3107,,,,,0.0133,20.3843,,,,,6.9904,,,,,21.1002,,,,
2026-02-13,309240216003.84,6.8773,,,,,3.2789,,,,,0.0135,20.1881,,,,,6.9231,,,,,20.8970,,,,
2026-02-12,324561248427.2,7.2181,,,,,3.4413,,,,,0.0128,21.1883,,,,,7.2661,,,,,21.9323,,,,
2026-02-11,315542778732.8,7.0175,,,,,3.3457,,,,,0.0132,20.5995,,,,,7.0642,,,,,21.3229,,,,
2026-02-10,322363644317.76,7.1692,,,,,3.4180,,,,,0.0129,21.0448,,,,,7.2169,,,,,21.7838,,,,
2026-02-09,317844043413.44,7.0687,,,,,3.3701,,,,,0.0131,20.7498,,,,,7.1157,,,,,21.4784,,,,
2026-02-06,299579050768.0,6.6625,,,,,3.1764,,,,,0.0139,19.5574,,,,,6.7068,,,,,20.2442,,,,
2026-02-05,302688867904.0,6.7316,,,,,3.2094,,,,,0.0138,19.7604,,,,,6.7764,,,,,20.4543,,,,
2026-02-04,315687903532.4801,7.0207,,,,,3.3472,,,,,0.0132,20.6090,,,,,7.0674,,,,,21.3327,,,,
2026-02-03,310732928229.12,6.9105,,,,,3.2947,,,,,0.0134,20.2855,,,,,6.9565,,,,,20.9979,,,,
2026-02-02,308908502176.0,6.8700,,,,,3.2754,,,,,0.0135,20.1664,,,,,6.9156,,,,,20.8746,,,,
2026-01-30,313054925024.0,6.9622,,,,,3.3193,,,,,0.0133,20.4371,,,,,7.0085,,,,,21.1548,,,,
2026-01-29,303269367102.7201,6.7446,,,,,3.2156,,,,,0.0137,19.7983,,,,,6.7894,,,,,20.4935,,,,
2026-01-28,316994026729.6001,7.0498,,,,,3.3611,,,,,0.0131,20.6943,,,,,7.0967,,,,,21.4210,,,,
2026-01-27,327961315162.56,7.2937,,,,,3.4774,,,,,0.0127,21.4103,,,,,7.3422,,,,,22.1621,,,,
2026-01-26,331029668070.08,7.3619,,,,,3.5099,,,,,0.0126,21.6106,,,,,7.4109,,,,,22.3694,,,,
2026-01-23,338016390568.96,7.5173,,,,,3.5840,,,,,0.0123,22.0667,,,,,7.5673,,,,,22.8416,,,,
2026-01-22,332501648181.12,7.3947,,,,,3.5255,,,,,0.0125,21.7067,,,,,7.4438,,,,,22.4689,,,,
2026-01-21,336026107601.9201,7.4730,,,,,3.5629,,,,,0.0124,21.9368,,,,,7.5227,,,,,22.7071,,,,
2026-01-20,337954194226.24,7.5159,,,,,3.5833,,,,,0.0123,22.0626,,,,,7.5659,,,,,22.8374,,,,
2026-01-19,358002148696.32,7.9618,,,,,3.7959,,,,,0.0116,23.3714,,,,,8.0147,,,,,24.1921,,,,
2026-01-16,354498421389.76,7.8839,,,,,3.7587,,,,,0.0118,23.1427,,,,,7.9363,,,,,23.9554,,,,
2026-01-15,343033562215.0401,7.6289,,,,,3.6372,,,,,0.0121,22.3942,,,,,7.6796,,,,,23.1806,,,,
2026-01-14,343468936614.08,7.6386,,,,,3.6418,,,,,0.0121,22.4226,,,,,7.6894,,,,,23.2100,,,,
2026-01-13,332708969323.52,7.3993,,,,,3.5277,,,,,0.0125,21.7202,,,,,7.4485,,,,,22.4829,,,,
2026-01-12,338866407252.8,7.5362,,,,,3.5930,,,,,0.0123,22.1222,,,,,7.5863,,,,,22.8990,,,,
2026-01-09,350476391227.2,7.7944,,,,,3.7161,,,,,0.0119,22.8801,,,,,7.8462,,,,,23.6836,,,,
2026-01-08,354415492932.8,7.8820,,,,,3.7579,,,,,0.0118,23.1373,,,,,7.9344,,,,,23.9497,,,,
2026-01-07,359619253607.0401,7.9977,,,,,3.8130,,,,,0.0116,23.4770,,,,,8.0509,,,,,24.3014,,,,
2026-01-06,356841150298.88,7.9360,,,,,3.7836,,,,,0.0117,23.2956,,,,,7.9887,,,,,24.1137,,,,
2026-01-05,356239918985.9201,7.9226,,,,,3.7772,,,,,0.0117,23.2564,,,,,7.9753,,,,,24.0730,,,,
2025-12-31,354602081960.96,7.8862,,,,,3.7598,,,,,0.0118,23.1494,,,,,7.9386,,,,,23.9624,,,,
2025-12-30,371249969695.68,8.2564,,,,,3.9364,,,,,0.0112,24.2363,,,,,8.3113,,,,,25.0873,,,,
2025-12-29,364304711425.28,8.1019,,,,,3.8627,,,,,0.0114,23.7829,,,,,8.1558,,,,,24.6180,,,,
2025-12-26,375417124657.9201,8.3491,,,,,3.9805,,,,,0.0111,24.5083,,,,,8.4046,,,,,25.3689,,,,
2025-12-25,348050733861.12,7.7405,,,,,3.6904,,,,,0.0120,22.7218,,,,,7.7919,,,,,23.5196,,,,
2025-12-24,343904311013.12,7.6483,,,,,3.6464,,,,,0.0121,22.4511,,,,,7.6991,,,,,23.2395,,,,
2025-12-23,348278787117.76,7.7455,,,,,3.6928,,,,,0.0120,22.7366,,,,,7.7970,,,,,23.5351,,,,
2025-12-22,347387306205.44,7.7257,,,,,3.6833,,,,,0.0120,22.6784,,,,,7.7771,,,,,23.4748,,,,
2025-12-19,340110334107.2,7.5639,,,,,3.6062,,,,,0.0123,22.2034,,,,,7.6142,,,,,22.9831,,,,
2025-12-18,334429734805.44,7.4375,,,,,3.5460,,,,,0.0125,21.8325,,,,,7.4870,,,,,22.5992,,,,
2025-12-17,351409336368.0,7.8152,,,,,3.7260,,,,,0.0119,22.9410,,,,,7.8671,,,,,23.7466,,,,
2025-12-16,339944477193.28,7.5602,,,,,3.6044,,,,,0.0123,22.1926,,,,,7.6105,,,,,22.9719,,,,
2025-12-15,352860584364.8,7.8474,,,,,3.7414,,,,,0.0118,23.0358,,,,,7.8996,,,,,23.8447,,,,
2025-12-12,362770534971.52,8.0678,,,,,3.8465,,,,,0.0115,23.6827,,,,,8.1215,,,,,24.5143,,,,
2025-12-11,360842448347.2,8.0249,,,,,3.8260,,,,,0.0115,23.5568,,,,,8.0783,,,,,24.3841,,,,
2025-12-10,369218222500.1601,8.2112,,,,,3.9148,,,,,0.0113,24.1036,,,,,8.2658,,,,,24.9500,,,,
2025-12-09,385617324864.0,8.5759,,,,,4.0887,,,,,0.0108,25.1742,,,,,8.6329,,,,,26.0582,,,,
2025-12-08,382051401214.7201,8.4966,,,,,4.0509,,,,,0.0109,24.9414,,,,,8.5531,,,,,25.8173,,,,
2025-12-05,377324479168.0,8.3915,,,,,4.0008,,,,,0.0110,24.6328,,,,,8.4473,,,,,25.4978,,,,
2025-12-04,368098688331.2,8.1863,,,,,3.9030,,,,,0.0113,24.0305,,,,,8.2407,,,,,24.8744,,,,
2025-12-03,367227939533.12,8.1670,,,,,3.8937,,,,,0.0113,23.9737,,,,,8.2213,,,,,24.8156,,,,
2025-12-02,370482881468.8,8.2393,,,,,3.9282,,,,,0.0112,24.1862,,,,,8.2941,,,,,25.0355,,,,
2025-12-01,372265843293.44,8.2790,,,,,3.9471,,,,,0.0112,24.3026,,,,,8.3340,,,,,25.1560,,,,
2025-11-28,379190369449.6001,8.4330,,,,,4.0206,,,,,0.0110,24.7546,,,,,8.4891,,,,,25.6239,,,,
2025-11-27,375106142944.32,8.3422,,,,,3.9773,,,,,0.0111,24.4880,,,,,8.3976,,,,,25.3479,,,,
2025-11-26,378423281222.7201,8.4159,,,,,4.0124,,,,,0.0110,24.7046,,,,,8.4719,,,,,25.5721,,,,
2025-11-25,364283979311.0401,8.1015,,,,,3.8625,,,,,0.0114,23.7815,,,,,8.1553,,,,,24.6166,,,,
2025-11-24,347097056606.08,7.7193,,,,,3.6803,,,,,0.0120,22.6595,,,,,7.7706,,,,,23.4552,,,,
2025-11-21,348071465975.36,7.7409,,,,,3.6906,,,,,0.0120,22.7231,,,,,7.7924,,,,,23.5210,,,,
2025-11-20,367704778160.64,8.1776,,,,,3.8988,,,,,0.0113,24.0048,,,,,8.2319,,,,,24.8478,,,,
2025-11-19,365921816336.0,8.1379,,,,,3.8799,,,,,0.0114,23.8884,,,,,8.1920,,,,,24.7273,,,,
2025-11-18,362853463428.4801,8.0697,,,,,3.8473,,,,,0.0115,23.6881,,,,,8.1233,,,,,24.5199,,,,
2025-11-17,381035527616.96,8.4740,,,,,4.0401,,,,,0.0109,24.8751,,,,,8.5304,,,,,25.7486,,,,
2025-11-14,383544113440.0,8.5298,,,,,4.0667,,,,,0.0109,25.0389,,,,,8.5865,,,,,25.9181,,,,
2025-11-13,394967508386.24,8.7839,,,,,4.1878,,,,,0.0106,25.7846,,,,,8.8423,,,,,26.6901,,,,
2025-11-12,388996659485.12,8.6511,,,,,4.1245,,,,,0.0107,25.3948,,,,,8.7086,,,,,26.2866,,,,
2025-11-11,400129804832.0,8.8987,,,,,4.2426,,,,,0.0104,26.1216,,,,,8.9578,,,,,27.0389,,,,
2025-11-10,402203016256.0,8.9448,,,,,4.2646,,,,,0.0104,26.2570,,,,,9.0043,,,,,27.1790,,,,
2025-11-07,416715496224.0,9.2675,,,,,4.4184,,,,,0.0100,27.2044,,,,,9.3292,,,,,28.1597,,,,
2025-11-06,425837626489.6001,9.4704,,,,,4.5152,,,,,0.0098,27.7999,,,,,9.5334,,,,,28.7761,,,,
2025-11-05,415678890512.0,9.2445,,,,,4.4074,,,,,0.0100,27.1367,,,,,9.3059,,,,,28.0896,,,,
2025-11-04,388084446458.56,8.6308,,,,,4.1149,,,,,0.0107,25.3353,,,,,8.6882,,,,,26.2249,,,,
2025-11-03,413543482745.28,9.1970,,,,,4.3848,,,,,0.0101,26.9973,,,,,9.2581,,,,,27.9453,,,,
2025-10-31,393495528275.2,8.7511,,,,,4.1722,,,,,0.0106,25.6885,,,,,8.8093,,,,,26.5906,,,,
2025-10-30,403612800024.32,8.9761,,,,,4.2795,,,,,0.0103,26.3490,,,,,9.0358,,,,,27.2743,,,,
2025-10-29,396999255581.76,8.8291,,,,,4.2094,,,,,0.0105,25.9173,,,,,8.8878,,,,,26.8274,,,,
2025-10-28,343904311013.12,8.4734,,,,,3.8055,,,,,0.0121,24.8993,,,,,8.5359,,,,,25.8467,,,,
2025-10-27,346122647236.8,8.5281,,,,,3.8300,,,,,0.0120,25.0600,,,,,8.5910,,,,,26.0134,,,,
2025-10-24,342079884960.0,8.4285,,,,,3.7853,,,,,0.0122,24.7672,,,,,8.4906,,,,,25.7095,,,,
2025-10-23,318279417812.4801,7.8421,,,,,3.5219,,,,,0.0131,23.0440,,,,,7.8999,,,,,23.9208,,,,
2025-10-22,309571929831.68,7.6275,,,,,3.4256,,,,,0.0135,22.4136,,,,,7.6837,,,,,23.2664,,,,
2025-10-21,316765973472.96,7.8048,,,,,3.5052,,,,,0.0132,22.9345,,,,,7.8623,,,,,23.8070,,,,
2025-10-20,308141413949.12,7.5923,,,,,3.4098,,,,,0.0135,22.3100,,,,,7.6482,,,,,23.1588,,,,
2025-10-17,301051030879.0401,7.0775,,,,,3.3313,,,,,0.0138,21.7967,,,,,7.1273,,,,,22.6260,,,,
2025-10-16,337933462112.0,7.9446,,,,,3.7394,,,,,0.0123,24.4670,,,,,8.0004,,,,,25.3979,,,,
2025-10-15,313884209593.6001,7.3792,,,,,3.4733,,,,,0.0133,22.7258,,,,,7.4311,,,,,23.5905,,,,
2025-10-14,289814224960.96,6.8133,,,,,3.2070,,,,,0.0144,20.9831,,,,,6.8612,,,,,21.7814,,,,
2025-10-13,292778917297.28,6.8830,,,,,3.2398,,,,,0.0142,21.1978,,,,,6.9314,,,,,22.0043,,,,
2025-10-10,303766937844.4801,7.1413,,,,,3.3614,,,,,0.0137,21.9933,,,,,7.1916,,,,,22.8301,,,,
2025-10-09,329412563159.36,7.7443,,,,,3.6451,,,,,0.0126,23.8501,,,,,7.7987,,,,,24.7575,,,,
2025-09-30,335818786459.52,7.8949,,,,,3.7160,,,,,0.0124,24.3139,,,,,7.9504,,,,,25.2390,,,,
2025-09-29,342079884960.0,8.0421,,,,,3.7853,,,,,0.0122,24.7672,,,,,8.0986,,,,,25.7095,,,,
2025-09-26,326530799280.0,7.6765,,,,,3.6133,,,,,0.0128,23.6415,,,,,7.7305,,,,,24.5409,,,,
2025-09-25,331382114012.1601,7.7906,,,,,3.6669,,,,,0.0126,23.9927,,,,,7.8453,,,,,24.9055,,,,
2025-09-24,319689201580.8,7.5157,,,,,3.5375,,,,,0.0130,23.1461,,,,,7.5685,,,,,24.0267,,,,
2025-09-23,297588767800.96,6.9961,,,,,3.2930,,,,,0.0140,21.5460,,,,,7.0453,,,,,22.3657,,,,
2025-09-22,284506803715.52,6.6886,,,,,3.1482,,,,,0.0146,20.5988,,,,,6.7356,,,,,21.3826,,,,
2025-09-19,284444607372.8,6.6871,,,,,3.1475,,,,,0.0146,20.5943,,,,,6.7341,,,,,21.3779,,,,
2025-09-18,295536288491.2,6.9478,,,,,3.2703,,,,,0.0141,21.3974,,,,,6.9967,,,,,22.2115,,,,
2025-09-17,292302078669.76,6.8718,,,,,3.2345,,,,,0.0143,21.1632,,,,,6.9201,,,,,21.9684,,,,
2025-09-16,290892294901.44,6.8387,,,,,3.2189,,,,,0.0143,21.0612,,,,,6.8868,,,,,21.8625,,,,
2025-09-15,283345805318.08,6.6613,,,,,3.1354,,,,,0.0147,20.5148,,,,,6.7081,,,,,21.2953,,,,
2025-09-12,277644473902.08,6.5272,,,,,3.0723,,,,,0.0150,20.1020,,,,,6.5731,,,,,20.8668,,,,
2025-09-11,284734856972.1601,6.6939,,,,,3.1508,,,,,0.0146,20.6154,,,,,6.7410,,,,,21.3997,,,,
2025-09-10,265993025699.2,6.2533,,,,,2.9434,,,,,0.0157,19.2584,,,,,6.2973,,,,,19.9911,,,,
2025-09-09,269268699749.12,6.3303,,,,,2.9796,,,,,0.0155,19.4956,,,,,6.3748,,,,,20.2373,,,,
2025-09-08,283988500859.52,6.6764,,,,,3.1425,,,,,0.0147,20.5613,,,,,6.7233,,,,,21.3436,,,,
2025-09-05,280588434124.1601,6.5964,,,,,3.1049,,,,,0.0149,20.3151,,,,,6.6428,,,,,21.0881,,,,
2025-09-04,240492525184.0,5.6538,,,,,2.6612,,,,,0.0173,17.4121,,,,,5.6936,,,,,18.0746,,,,
2025-09-03,238211992617.6,5.6002,,,,,2.6360,,,,,0.0175,17.2470,,,,,5.6396,,,,,17.9032,,,,
2025-09-02,206595518401.6,4.8569,,,,,2.2861,,,,,0.0202,14.9579,,,,,4.8911,,,,,15.5270,,,,
2025-09-01,205662573260.8,4.8350,,,,,2.2758,,,,,0.0203,14.8904,,,,,4.8690,,,,,15.4569,,,,
2025-08-29,207051624914.88,4.8676,,,,,2.2911,,,,,0.0201,14.9909,,,,,4.9019,,,,,15.5613,,,,
2025-08-28,206408929373.44,4.8525,,,,,2.2840,,,,,0.0202,14.9444,,,,,4.8866,,,,,15.5130,,,,
2025-08-27,197183138536.64,4.6356,,,,,2.1819,,,,,0.0211,14.2764,,,,,4.6682,,,,,14.8196,,,,
2025-08-26,201122240242.24,4.7282,,,,,2.2255,,,,,0.0207,14.5616,,,,,4.7615,,,,,15.1157,,,,
2025-08-25,212711492102.4,5.5157,,,,,2.5239,,,,,0.0104,16.6622,,,,,5.5585,,,,,17.3137,,,,
2025-08-22,202884469952.64,5.2609,,,,,2.4073,,,,,0.0109,15.8924,,,,,5.3017,,,,,16.5139,,,,
