date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-05-26,1904275353820.74,0.6967,,,,,7.7634,,,,,2.8328,,,,,0.0383,0.6974,,,,,7.7757,,,,
2026-05-25,1901053229702.6,0.6955,,,,,7.7503,,,,,2.8280,,,,,0.0384,0.6962,,,,,7.7626,,,,
2026-05-22,1888164733230.04,0.6908,,,,,7.6977,,,,,2.8088,,,,,0.0386,0.6915,,,,,7.7099,,,,
2026-05-21,1868831988521.2,0.6837,,,,,7.6189,,,,,2.7801,,,,,0.0390,0.6844,,,,,7.6310,,,,
2026-05-20,1836610747339.8,0.6719,,,,,7.4876,,,,,2.7321,,,,,0.0397,0.6726,,,,,7.4994,,,,
2026-05-19,1878498360875.62,0.6872,,,,,7.6583,,,,,2.7944,,,,,0.0388,0.6879,,,,,7.6705,,,,
2026-05-18,1865609864403.06,0.6825,,,,,7.6058,,,,,2.7753,,,,,0.0391,0.6832,,,,,7.6178,,,,
2026-05-15,1865609864403.06,0.6825,,,,,7.6058,,,,,2.7753,,,,,0.0391,0.6832,,,,,7.6178,,,,
2026-05-14,1855943492048.64,0.6790,,,,,7.5664,,,,,2.7609,,,,,0.0393,0.6797,,,,,7.5784,,,,
2026-05-13,1843054995576.08,0.6743,,,,,7.5138,,,,,2.7417,,,,,0.0396,0.6749,,,,,7.5257,,,,
2026-05-12,1849499243812.36,0.6766,,,,,7.5401,,,,,2.7513,,,,,0.0394,0.6773,,,,,7.5521,,,,
2026-05-11,1830166499103.52,0.6696,,,,,7.4613,,,,,2.7225,,,,,0.0398,0.6702,,,,,7.4731,,,,
2026-05-08,1830166499103.52,0.6696,,,,,7.4613,,,,,2.7225,,,,,0.0398,0.6702,,,,,7.4731,,,,
2026-05-07,1833388623221.66,0.6707,,,,,7.4744,,,,,2.7273,,,,,0.0398,0.6714,,,,,7.4863,,,,
2026-05-06,1839832871457.94,0.6731,,,,,7.5007,,,,,2.7369,,,,,0.0396,0.6738,,,,,7.5126,,,,
2026-04-30,1852721367930.5,0.6778,,,,,7.5532,,,,,2.7561,,,,,0.0394,0.6785,,,,,7.5652,,,,
2026-04-29,1865609864403.06,0.6925,,,,,7.6767,,,,,2.8339,,,,,0.0391,0.6932,,,,,7.6802,,,,
2026-04-28,1872054112639.34,0.6949,,,,,7.7033,,,,,2.8437,,,,,0.0390,0.6956,,,,,7.7067,,,,
2026-04-27,1855943492048.64,0.6889,,,,,7.6370,,,,,2.8193,,,,,0.0393,0.6896,,,,,7.6404,,,,
2026-04-24,1872054112639.34,0.6949,,,,,7.7033,,,,,2.8437,,,,,0.0390,0.6956,,,,,7.7067,,,,
2026-04-23,1875276236757.48,0.6961,,,,,7.7165,,,,,2.8486,,,,,0.0389,0.6968,,,,,7.7200,,,,
2026-04-22,1881720484993.76,0.6985,,,,,7.7430,,,,,2.8584,,,,,0.0387,0.6992,,,,,7.7465,,,,
2026-04-21,1910719602057.02,0.7092,,,,,7.8624,,,,,2.9025,,,,,0.0382,0.7100,,,,,7.8659,,,,
2026-04-20,1901053229702.6,0.7056,,,,,7.8226,,,,,2.8878,,,,,0.0384,0.7064,,,,,7.8261,,,,
2026-04-17,1859165616166.78,0.6901,,,,,7.6502,,,,,2.8241,,,,,0.0392,0.6908,,,,,7.6537,,,,
2026-04-16,1865609864403.06,0.6925,,,,,7.6767,,,,,2.8339,,,,,0.0391,0.6932,,,,,7.6802,,,,
2026-04-15,1865609864403.06,0.6925,,,,,7.6767,,,,,2.8339,,,,,0.0391,0.6932,,,,,7.6802,,,,
2026-04-14,1846277119694.22,0.6853,,,,,7.5972,,,,,2.8046,,,,,0.0395,0.6860,,,,,7.6006,,,,
2026-04-13,1833388623221.66,0.6805,,,,,7.5442,,,,,2.7850,,,,,0.0398,0.6812,,,,,7.5475,,,,
2026-04-10,1820500126749.1,0.6757,,,,,7.4911,,,,,2.7654,,,,,0.0401,0.6764,,,,,7.4945,,,,
2026-04-09,1833388623221.66,0.6805,,,,,7.5442,,,,,2.7850,,,,,0.0398,0.6812,,,,,7.5475,,,,
2026-04-08,1849499243812.36,0.6865,,,,,7.6105,,,,,2.8095,,,,,0.0394,0.6872,,,,,7.6139,,,,
2026-04-07,1868831988521.2,0.6937,,,,,7.6900,,,,,2.8388,,,,,0.0390,0.6944,,,,,7.6935,,,,
2026-04-03,1875276236757.48,0.6961,,,,,7.7165,,,,,2.8486,,,,,0.0389,0.6968,,,,,7.7200,,,,
2026-04-02,1913941726175.16,0.7104,,,,,7.8756,,,,,2.9074,,,,,0.0381,0.7111,,,,,7.8792,,,,
2026-04-01,1891386857348.18,0.7021,,,,,7.7828,,,,,2.8731,,,,,0.0386,0.7028,,,,,7.7863,,,,
2026-03-31,1891386857348.18,0.7021,,,,,7.7828,,,,,2.8731,,,,,0.0386,0.7028,,,,,7.7863,,,,
2026-03-30,1826944374985.38,0.6924,,,,,7.6206,,,,,2.8415,,,,,0.0389,0.6932,,,,,7.6450,,,,
2026-03-27,1794723133803.98,0.6802,,,,,7.4862,,,,,2.7914,,,,,0.0396,0.6809,,,,,7.5102,,,,
2026-03-26,1797945257922.12,0.6814,,,,,7.4996,,,,,2.7964,,,,,0.0395,0.6822,,,,,7.5237,,,,
2026-03-25,1788278885567.7,0.6778,,,,,7.4593,,,,,2.7814,,,,,0.0397,0.6785,,,,,7.4832,,,,
2026-03-24,1762501892622.5798,0.6680,,,,,7.3518,,,,,2.7413,,,,,0.0403,0.6687,,,,,7.3754,,,,
2026-03-23,1736724899677.46,0.6582,,,,,7.2443,,,,,2.7012,,,,,0.0409,0.6589,,,,,7.2675,,,,
2026-03-20,1775390389095.14,0.6729,,,,,7.4055,,,,,2.7613,,,,,0.0400,0.6736,,,,,7.4293,,,,
2026-03-19,1781834637331.4202,0.6753,,,,,7.4324,,,,,2.7714,,,,,0.0399,0.6760,,,,,7.4563,,,,
2026-03-18,1772168264977.0,0.6717,,,,,7.3921,,,,,2.7563,,,,,0.0401,0.6724,,,,,7.4158,,,,
2026-03-17,1772168264977.0,0.6717,,,,,7.3921,,,,,2.7563,,,,,0.0401,0.6724,,,,,7.4158,,,,
2026-03-16,1739947023795.6,0.6594,,,,,7.2577,,,,,2.7062,,,,,0.0408,0.6601,,,,,7.2810,,,,
2026-03-13,1736724899677.46,0.6582,,,,,7.2443,,,,,2.7012,,,,,0.0409,0.6589,,,,,7.2675,,,,
2026-03-12,1730280651441.18,0.6558,,,,,7.2174,,,,,2.6912,,,,,0.0411,0.6565,,,,,7.2405,,,,
2026-03-11,1727058527323.04,0.6546,,,,,7.2039,,,,,2.6862,,,,,0.0411,0.6553,,,,,7.2271,,,,
2026-03-10,1717392154968.62,0.6509,,,,,7.1636,,,,,2.6711,,,,,0.0414,0.6516,,,,,7.1866,,,,
2026-03-09,1727058527323.04,0.6546,,,,,7.2039,,,,,2.6862,,,,,0.0411,0.6553,,,,,7.2271,,,,
2026-03-06,1736724899677.46,0.6582,,,,,7.2443,,,,,2.7012,,,,,0.0409,0.6589,,,,,7.2675,,,,
2026-03-05,1736724899677.46,0.6582,,,,,7.2443,,,,,2.7012,,,,,0.0409,0.6589,,,,,7.2675,,,,
2026-03-04,1723836403204.9,0.6533,,,,,7.1905,,,,,2.6812,,,,,0.0412,0.6540,,,,,7.2136,,,,
2026-03-03,1746391272031.88,0.6619,,,,,7.2846,,,,,2.7162,,,,,0.0407,0.6626,,,,,7.3080,,,,
2026-03-02,1710947906732.3398,0.6485,,,,,7.1367,,,,,2.6611,,,,,0.0415,0.6491,,,,,7.1596,,,,
2026-02-27,1701281534377.9202,0.6448,,,,,7.0964,,,,,2.6461,,,,,0.0418,0.6455,,,,,7.1192,,,,
2026-02-26,1698059410259.7798,0.6436,,,,,7.0830,,,,,2.6411,,,,,0.0418,0.6443,,,,,7.1057,,,,
2026-02-25,1704503658496.06,0.6460,,,,,7.1099,,,,,2.6511,,,,,0.0417,0.6467,,,,,7.1327,,,,
2026-02-24,1704503658496.06,0.6460,,,,,7.1099,,,,,2.6511,,,,,0.0417,0.6467,,,,,7.1327,,,,
2026-02-13,1710947906732.3398,0.6485,,,,,7.1367,,,,,2.6611,,,,,0.0415,0.6491,,,,,7.1596,,,,
2026-02-12,1720614279086.76,0.6521,,,,,7.1771,,,,,2.6761,,,,,0.0413,0.6528,,,,,7.2001,,,,
2026-02-11,1743169147913.74,0.6607,,,,,7.2711,,,,,2.7112,,,,,0.0408,0.6614,,,,,7.2945,,,,
2026-02-10,1743169147913.74,0.6607,,,,,7.2711,,,,,2.7112,,,,,0.0408,0.6614,,,,,7.2945,,,,
2026-02-09,1733502775559.32,0.6570,,,,,7.2308,,,,,2.6962,,,,,0.0410,0.6577,,,,,7.2540,,,,
2026-02-06,1723836403204.9,0.6533,,,,,7.1905,,,,,2.6812,,,,,0.0412,0.6540,,,,,7.2136,,,,
2026-02-05,1739947023795.6,0.6594,,,,,7.2577,,,,,2.7062,,,,,0.0408,0.6601,,,,,7.2810,,,,
2026-02-04,1723836403204.9,0.6533,,,,,7.1905,,,,,2.6812,,,,,0.0412,0.6540,,,,,7.2136,,,,
2026-02-03,1701281534377.9202,0.6448,,,,,7.0964,,,,,2.6461,,,,,0.0418,0.6455,,,,,7.1192,,,,
2026-02-02,1746391272031.88,0.6619,,,,,7.2846,,,,,2.7162,,,,,0.0407,0.6626,,,,,7.3080,,,,
2026-01-30,1730280651441.18,0.6558,,,,,7.2174,,,,,2.6912,,,,,0.0411,0.6565,,,,,7.2405,,,,
2026-01-29,1730280651441.18,0.6558,,,,,7.2174,,,,,2.6912,,,,,0.0411,0.6565,,,,,7.2405,,,,
2026-01-28,1720614279086.76,0.6521,,,,,7.1771,,,,,2.6761,,,,,0.0413,0.6528,,,,,7.2001,,,,
2026-01-27,1717392154968.62,0.6509,,,,,7.1636,,,,,2.6711,,,,,0.0414,0.6516,,,,,7.1866,,,,
2026-01-26,1710947906732.3398,0.6485,,,,,7.1367,,,,,2.6611,,,,,0.0415,0.6491,,,,,7.1596,,,,
2026-01-23,1698059410259.7798,0.6436,,,,,7.0830,,,,,2.6411,,,,,0.0418,0.6443,,,,,7.1057,,,,
2026-01-22,1707725782614.2,0.6472,,,,,7.1233,,,,,2.6561,,,,,0.0416,0.6479,,,,,7.1462,,,,
2026-01-21,1717392154968.62,0.6509,,,,,7.1636,,,,,2.6711,,,,,0.0414,0.6516,,,,,7.1866,,,,
2026-01-20,1752835520268.1602,0.6643,,,,,7.3115,,,,,2.7263,,,,,0.0405,0.6650,,,,,7.3349,,,,
2026-01-19,1727058527323.04,0.6546,,,,,7.2039,,,,,2.6862,,,,,0.0411,0.6553,,,,,7.2271,,,,
2026-01-16,1739947023795.6,0.6594,,,,,7.2577,,,,,2.7062,,,,,0.0408,0.6601,,,,,7.2810,,,,
2026-01-15,1749613396150.02,0.6631,,,,,7.2980,,,,,2.7212,,,,,0.0406,0.6638,,,,,7.3214,,,,
2026-01-14,1762501892622.5798,0.6680,,,,,7.3518,,,,,2.7413,,,,,0.0403,0.6687,,,,,7.3754,,,,
2026-01-13,1788278885567.7,0.6778,,,,,7.4593,,,,,2.7814,,,,,0.0397,0.6785,,,,,7.4832,,,,
2026-01-12,1781834637331.4202,0.6753,,,,,7.4324,,,,,2.7714,,,,,0.0399,0.6760,,,,,7.4563,,,,
2026-01-09,1768946140858.86,0.6704,,,,,7.3787,,,,,2.7513,,,,,0.0402,0.6712,,,,,7.4023,,,,
2026-01-08,1778612513213.2798,0.6741,,,,,7.4190,,,,,2.7663,,,,,0.0399,0.6748,,,,,7.4428,,,,
2026-01-07,1791501009685.8398,0.6790,,,,,7.4727,,,,,2.7864,,,,,0.0397,0.6797,,,,,7.4967,,,,
2026-01-06,1801167382040.26,0.6827,,,,,7.5131,,,,,2.8014,,,,,0.0394,0.6834,,,,,7.5372,,,,
2026-01-05,1826944374985.38,0.6924,,,,,7.6206,,,,,2.8415,,,,,0.0389,0.6932,,,,,7.6450,,,,
2025-12-31,1846277119694.22,0.6997,,,,,7.7012,,,,,2.8716,,,,,0.0385,0.7005,,,,,7.7259,,,,
2025-12-30,1826944374985.38,0.6924,,,,,7.6206,,,,,2.8415,,,,,0.0389,0.6932,,,,,7.6450,,,,
2025-12-29,1830166499103.52,0.6936,,,,,7.6340,,,,,2.8465,,,,,0.0388,0.6944,,,,,7.6585,,,,
2025-12-26,1807611630276.54,0.6851,,,,,7.5399,,,,,2.8115,,,,,0.0393,0.6858,,,,,7.5641,,,,
2025-12-25,1820500126749.1,0.6900,,,,,7.5937,,,,,2.8315,,,,,0.0390,0.6907,,,,,7.6181,,,,
2025-12-24,1826944374985.38,0.6924,,,,,7.6206,,,,,2.8415,,,,,0.0389,0.6932,,,,,7.6450,,,,
2025-12-23,1836610747339.8,0.6961,,,,,7.6609,,,,,2.8566,,,,,0.0387,0.6968,,,,,7.6855,,,,
2025-12-22,1826944374985.38,0.6924,,,,,7.6206,,,,,2.8415,,,,,0.0389,0.6932,,,,,7.6450,,,,
2025-12-19,1823722250867.24,0.6912,,,,,7.6071,,,,,2.8365,,,,,0.0390,0.6919,,,,,7.6316,,,,
2025-12-18,1836610747339.8,0.6961,,,,,7.6609,,,,,2.8566,,,,,0.0387,0.6968,,,,,7.6855,,,,
2025-12-17,1807611630276.54,0.6851,,,,,7.5399,,,,,2.8115,,,,,0.0393,0.6858,,,,,7.5641,,,,
2025-12-16,1801167382040.26,0.6827,,,,,7.5131,,,,,2.8014,,,,,0.0394,0.6834,,,,,7.5372,,,,
2025-12-15,1807611630276.54,0.6851,,,,,7.5399,,,,,2.8115,,,,,0.0393,0.6858,,,,,7.5641,,,,
2025-12-12,1801167382040.26,0.6827,,,,,7.5131,,,,,2.8014,,,,,0.0394,0.6834,,,,,7.5372,,,,
2025-12-11,1839832871457.94,0.6973,,,,,7.6743,,,,,2.8616,,,,,0.0386,0.6980,,,,,7.6990,,,,
2025-12-10,1852721367930.5,0.6929,,,,,7.7281,,,,,2.8816,,,,,0.0383,0.6937,,,,,7.7529,,,,
2025-12-09,1881720484993.76,0.7038,,,,,7.8491,,,,,2.9267,,,,,0.0378,0.7045,,,,,7.8743,,,,
2025-12-08,1878498360875.62,0.7026,,,,,7.8356,,,,,2.9217,,,,,0.0378,0.7033,,,,,7.8608,,,,
2025-12-05,1872054112639.34,0.7002,,,,,7.8088,,,,,2.9117,,,,,0.0380,0.7009,,,,,7.8338,,,,
2025-12-04,1894608981466.32,0.7086,,,,,7.9028,,,,,2.9468,,,,,0.0375,0.7093,,,,,7.9282,,,,
2025-12-03,1913941726175.16,0.7158,,,,,7.9835,,,,,2.9768,,,,,0.0371,0.7166,,,,,8.0091,,,,
2025-12-02,1952607215592.84,0.7303,,,,,8.1448,,,,,3.0370,,,,,0.0364,0.7311,,,,,8.1709,,,,
2025-12-01,1955829339710.98,0.7315,,,,,8.1582,,,,,3.0420,,,,,0.0363,0.7323,,,,,8.1844,,,,
2025-11-28,1955829339710.98,0.7315,,,,,8.1582,,,,,3.0420,,,,,0.0363,0.7323,,,,,8.1844,,,,
2025-11-27,1988050580892.38,0.7435,,,,,8.2926,,,,,3.0921,,,,,0.0357,0.7443,,,,,8.3192,,,,
2025-11-26,1981606332656.1,0.7411,,,,,8.2657,,,,,3.0821,,,,,0.0359,0.7419,,,,,8.2922,,,,
2025-11-25,2017049697955.64,0.7544,,,,,8.4136,,,,,3.1372,,,,,0.0352,0.7552,,,,,8.4406,,,,
2025-11-24,1988050580892.38,0.7435,,,,,8.2926,,,,,3.0921,,,,,0.0357,0.7443,,,,,8.3192,,,,
2025-11-21,2026716070310.06,0.7580,,,,,8.4539,,,,,3.1522,,,,,0.0351,0.7588,,,,,8.4810,,,,
2025-11-20,2010605449719.36,0.7520,,,,,8.3867,,,,,3.1272,,,,,0.0353,0.7528,,,,,8.4136,,,,
2025-11-19,1933274470884.0,0.7231,,,,,8.0641,,,,,3.0069,,,,,0.0367,0.7238,,,,,8.0900,,,,
2025-11-18,1862387740284.92,0.6965,,,,,7.7684,,,,,2.8966,,,,,0.0381,0.6973,,,,,7.7934,,,,
2025-11-17,1859165616166.78,0.6953,,,,,7.7550,,,,,2.8916,,,,,0.0382,0.6961,,,,,7.7799,,,,
2025-11-14,1875276236757.48,0.7014,,,,,7.8222,,,,,2.9167,,,,,0.0379,0.7021,,,,,7.8473,,,,
2025-11-13,1849499243812.36,0.6917,,,,,7.7147,,,,,2.8766,,,,,0.0384,0.6925,,,,,7.7394,,,,
2025-11-12,1855943492048.64,0.6941,,,,,7.7415,,,,,2.8866,,,,,0.0383,0.6949,,,,,7.7664,,,,
2025-11-11,1830166499103.52,0.6845,,,,,7.6340,,,,,2.8465,,,,,0.0388,0.6852,,,,,7.6585,,,,
2025-11-10,1823722250867.24,0.6821,,,,,7.6071,,,,,2.8365,,,,,0.0390,0.6828,,,,,7.6316,,,,
2025-11-07,1817278002630.96,0.6797,,,,,7.5803,,,,,2.8265,,,,,0.0391,0.6804,,,,,7.6046,,,,
2025-11-06,1823722250867.24,0.6821,,,,,7.6071,,,,,2.8365,,,,,0.0390,0.6828,,,,,7.6316,,,,
2025-11-05,1833388623221.66,0.6857,,,,,7.6475,,,,,2.8515,,,,,0.0388,0.6864,,,,,7.6720,,,,
2025-11-04,1846277119694.22,0.6905,,,,,7.7012,,,,,2.8716,,,,,0.0385,0.6912,,,,,7.7259,,,,
2025-11-03,1830166499103.52,0.6845,,,,,7.6340,,,,,2.8465,,,,,0.0388,0.6852,,,,,7.6585,,,,
2025-10-31,1807611630276.54,0.6761,,,,,7.5399,,,,,2.8115,,,,,0.0393,0.6768,,,,,7.5641,,,,
2025-10-30,1820500126749.1,0.6809,,,,,7.5937,,,,,2.8315,,,,,0.0390,0.6816,,,,,7.6181,,,,
2025-10-29,1804389506158.4,0.6749,,,,,7.5265,,,,,2.8064,,,,,0.0394,0.6756,,,,,7.5507,,,,
2025-10-28,1804389506158.4,0.6841,,,,,7.6189,,,,,2.8105,,,,,0.0394,0.6848,,,,,7.6361,,,,
2025-10-27,1801167382040.26,0.6829,,,,,7.6053,,,,,2.8055,,,,,0.0394,0.6836,,,,,7.6224,,,,
2025-10-24,1781834637331.4202,0.6755,,,,,7.5237,,,,,2.7754,,,,,0.0399,0.6763,,,,,7.5406,,,,
2025-10-23,1768946140858.86,0.6707,,,,,7.4692,,,,,2.7553,,,,,0.0402,0.6714,,,,,7.4861,,,,
2025-10-22,1759279768504.44,0.6670,,,,,7.4284,,,,,2.7402,,,,,0.0404,0.6677,,,,,7.4452,,,,
2025-10-21,1736724899677.46,0.6584,,,,,7.3332,,,,,2.7051,,,,,0.0409,0.6591,,,,,7.3497,,,,
2025-10-20,1727058527323.04,0.6548,,,,,7.2924,,,,,2.6901,,,,,0.0411,0.6555,,,,,7.3088,,,,
2025-10-17,1720614279086.76,0.6523,,,,,7.2652,,,,,2.6800,,,,,0.0413,0.6530,,,,,7.2815,,,,
2025-10-16,1733502775559.32,0.6572,,,,,7.3196,,,,,2.7001,,,,,0.0410,0.6579,,,,,7.3361,,,,
2025-10-15,1701281534377.9202,0.6450,,,,,7.1835,,,,,2.6499,,,,,0.0418,0.6457,,,,,7.1997,,,,
2025-10-14,1701281534377.9202,0.6450,,,,,7.1835,,,,,2.6499,,,,,0.0418,0.6457,,,,,7.1997,,,,
2025-10-13,1675504541432.8,0.6352,,,,,7.0747,,,,,2.6098,,,,,0.0424,0.6359,,,,,7.0906,,,,
2025-10-10,1685170913787.2202,0.6389,,,,,7.1155,,,,,2.6248,,,,,0.0422,0.6396,,,,,7.1315,,,,
2025-10-09,1685170913787.2202,0.6389,,,,,7.1155,,,,,2.6248,,,,,0.0422,0.6396,,,,,7.1315,,,,
2025-09-30,1669060293196.52,0.6328,,,,,7.0475,,,,,2.5997,,,,,0.0426,0.6335,,,,,7.0634,,,,
2025-09-29,1675504541432.8,0.6352,,,,,7.0747,,,,,2.6098,,,,,0.0424,0.6359,,,,,7.0906,,,,
2025-09-26,1688393037905.36,0.6401,,,,,7.1291,,,,,2.6298,,,,,0.0421,0.6408,,,,,7.1452,,,,
2025-09-25,1688393037905.36,0.6401,,,,,7.1291,,,,,2.6298,,,,,0.0421,0.6408,,,,,7.1452,,,,
2025-09-24,1701281534377.9202,0.6450,,,,,7.1835,,,,,2.6499,,,,,0.0418,0.6457,,,,,7.1997,,,,
2025-09-23,1707725782614.2,0.6474,,,,,7.2107,,,,,2.6599,,,,,0.0416,0.6481,,,,,7.2270,,,,
2025-09-22,1678726665550.94,0.6364,,,,,7.0883,,,,,2.6148,,,,,0.0423,0.6371,,,,,7.1043,,,,
2025-09-19,1704503658496.06,0.6462,,,,,7.1971,,,,,2.6549,,,,,0.0417,0.6469,,,,,7.2134,,,,
2025-09-18,1707725782614.2,0.6474,,,,,7.2107,,,,,2.6599,,,,,0.0416,0.6481,,,,,7.2270,,,,
2025-09-17,1739947023795.6,0.6597,,,,,7.3468,,,,,2.7101,,,,,0.0408,0.6604,,,,,7.3634,,,,
2025-09-16,1743169147913.74,0.6609,,,,,7.3604,,,,,2.7151,,,,,0.0408,0.6616,,,,,7.3770,,,,
2025-09-15,1759279768504.44,0.6670,,,,,7.4284,,,,,2.7402,,,,,0.0404,0.6677,,,,,7.4452,,,,
2025-09-12,1765724016740.7202,0.6694,,,,,7.4556,,,,,2.7503,,,,,0.0402,0.6701,,,,,7.4724,,,,
2025-09-11,1772168264977.0,0.6719,,,,,7.4828,,,,,2.7603,,,,,0.0401,0.6726,,,,,7.4997,,,,
2025-09-10,1768946140858.86,0.6707,,,,,7.4692,,,,,2.7553,,,,,0.0402,0.6714,,,,,7.4861,,,,
2025-09-09,1765724016740.7202,0.6694,,,,,7.4556,,,,,2.7503,,,,,0.0402,0.6701,,,,,7.4724,,,,
2025-09-08,1762501892622.5798,0.6682,,,,,7.4420,,,,,2.7453,,,,,0.0403,0.6689,,,,,7.4588,,,,
2025-09-05,1778612513213.2798,0.6743,,,,,7.5100,,,,,2.7704,,,,,0.0399,0.6750,,,,,7.5270,,,,
2025-09-04,1810833754394.68,0.6865,,,,,7.6461,,,,,2.8205,,,,,0.0392,0.6873,,,,,7.6633,,,,
2025-09-03,1788278885567.7,0.6780,,,,,7.5509,,,,,2.7854,,,,,0.0397,0.6787,,,,,7.5679,,,,
2025-09-02,1814055878512.82,0.6878,,,,,7.6597,,,,,2.8256,,,,,0.0392,0.6885,,,,,7.6770,,,,
2025-09-01,1778612513213.2798,0.6743,,,,,7.5100,,,,,2.7704,,,,,0.0399,0.6750,,,,,7.5270,,,,
2025-08-29,1778612513213.2798,0.6933,,,,,7.5296,,,,,2.8045,,,,,0.0401,0.6940,,,,,7.5473,,,,
2025-08-28,1781834637331.4202,0.6945,,,,,7.5432,,,,,2.8096,,,,,0.0400,0.6953,,,,,7.5610,,,,
2025-08-27,1788278885567.7,0.6970,,,,,7.5705,,,,,2.8197,,,,,0.0399,0.6978,,,,,7.5884,,,,
